motion,method,pkl_file,source_reference_file,seed_policy,gmr_seeded,frames_original,frames_robot,fps_original,fps_robot,target_fps,scale_human_to_robot,robot_leg_length_m,kinematic_success,failure_reasons,warnings,qpos_width,model_nq,qpos_valid,joint_limit_available,joint_limit_violation_frames,joint_limit_violation_ratio,joint_limit_violation_count,max_joint_limit_violation_rad,joint_limit_top_violations,similarity_available,human_leg_length_m,shared_keypoint_count,root_relative_keypoint_error_mm,bone_direction_error_deg,end_effector_relative_error_mm,pelvis_root_relative_error_mm,head_root_relative_error_mm,left_hand_root_relative_error_mm,right_hand_root_relative_error_mm,left_foot_root_relative_error_mm,right_foot_root_relative_error_mm,left_knee_root_relative_error_mm,right_knee_root_relative_error_mm,left_elbow_root_relative_error_mm,right_elbow_root_relative_error_mm,normalized_root_trajectory_error,root_velocity_direction_error_deg,root_speed_profile_error,root_yaw_change_error_deg,motion_duration_error_s,motion_duration_error_ratio,foot_contact_timing_mismatch_ratio,keypoint_velocity_peak_timing_error_s,contact_metrics_available,foot_skating_frames,foot_skating_distance_m,foot_skating_mean_velocity_mps,foot_penetration_max_m,foot_penetration_mean_m,foot_penetration_frames,contact_frame_ratio,self_collision_available,self_collision_frames,self_collision_ratio,base_metrics_available,base_height_mean_m,base_height_std_m,base_roll_mean_deg,base_pitch_mean_deg,base_roll_std_deg,base_pitch_std_deg,fall_frames,fall_detected,base_abnormal,smoothness_available,mean_joint_velocity_rad_s,mean_joint_acceleration_rad_s2,mean_joint_jerk_rad_s3,max_joint_jerk_rad_s3
08_01,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_01_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,277,277,120.0,120.0,30.0,1.0352587081423574,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,39,0.5571428571428572,55,0.26124040601547627,left_knee_joint(19); right_hip_roll_joint(18); left_hip_roll_joint(18),1,0.8901495073044334,10,321.882333605927,61.614624253233664,381.2679453638221,0.0,654.1587066000477,313.93387319529387,414.0923520752811,435.1618606908895,361.88369549382367,166.04068868544712,197.54299079063165,169.3013022146474,184.82553270728093,0.017309752193665727,3.0172578817310284e-07,0.0340578715880834,0.0,0.0,0.0,0.2642857142857143,0.38666666666666666,1,24,1.8739366071694792,2.342420758961849,0.046369730103929856,0.004569889902591483,17,0.24285714285714285,1,64,0.9142857142857143,1,0.8043364141770649,0.02898771708632643,1.3693932379731477,1.1737302869572592,2.2069697209752595,1.318397359304433,0,0,0,1,0.7815801246709122,15.26020822610149,691.4159844313222,26291.63779169363
08_01,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/08_01_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,277,70,120.0,30.0,30.0,1.0352587081423574,0.9215350289855436,0,severe_foot_penetration;severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.8901495073044334,10,175.82354028736717,43.074382226406875,154.67517124106408,0.0,656.0989740805416,118.30536866054331,124.57871624150737,193.0370166630384,182.7795833991673,97.73224517905777,79.46450592314001,70.70391307737242,59.71153936193637,0.11223630691120445,2.123651881932648,0.23900491575703064,12.638297510021903,0.0,0.0,0.13571428571428573,0.09333333333333334,1,72,3.1418573215830183,1.3091072173262575,0.09447097513505484,0.018618778620207627,50,0.7142857142857143,1,43,0.6142857142857143,1,0.7368034382554323,0.018446019785488144,3.242068292726893,-14.137952592943249,2.0811901812717903,7.690125319937291,0,0,0,1,0.49681506910686135,5.03566436201401,139.86425371407572,2285.812503121842
08_01,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/08_01_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_01_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,277,69,120.0,29.891696750902526,30.0,1.0356244624083257,0.9215350289855436,0,severe_foot_penetration,,36,36,1,1,0,0.0,0,0.0,,1,0.8898351308181064,10,172.41959060750543,37.54128410622856,138.2801372585424,0.0,654.7513834427334,120.2847041790117,108.30077350596719,160.75107804031532,163.78399330887532,54.68052234989966,43.480838108739306,133.14228474327115,112.60073778873569,0.07380258701849479,1.7461045582711865,0.14332294658938122,0.4218919761881282,0.033333333333333215,0.014492753623188356,0.2536231884057971,0.29333333333333333,1,99,4.892102339577457,1.4824552544174114,0.09655735346688415,0.042472853470229784,69,1.0,1,9,0.13043478260869565,1,0.7147993227098988,0.025994941746545482,2.2645605133508147,-1.230654523776409,2.3294114176651672,1.1988818704990754,0,0,0,1,1.1836105914220054,20.272156053214722,749.0389115440772,17343.347928419567
08_04,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_04_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_04_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,484,484,120.0,120.0,30.0,1.0372040969816176,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,60,0.4918032786885246,106,0.28137083027923426,left_knee_joint(60); right_knee_joint(46),1,0.8884799353061907,10,300.5798855448789,61.30638635642605,347.64720924096156,0.0,652.4925729543683,352.3972607088146,355.09130551381315,344.89214517368174,338.20812556753685,152.83720965400317,165.55338824184932,188.49597057139616,155.25099151844697,0.017951048227040012,2.2679428371723987e-07,0.035869600872080916,2.5444437451708134e-14,0.0,0.0,0.2786885245901639,1.1066666666666667,1,31,1.434161648753759,1.3878983697617024,0.034278391213155665,0.002278177435214845,17,0.13934426229508196,1,108,0.8852459016393442,1,0.820165342584129,0.030340092862972345,-1.721271586100514,3.2164658501212906,1.7163649801952436,1.4886514445424188,0,0,0,1,0.4701046799631126,8.700695079170261,403.0583633781118,12988.277313890907
08_04,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/08_04_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_04_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,484,121,120.0,30.0,30.0,1.0372040969816176,0.9215350289855436,0,severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.8884799353061907,10,164.95021521246045,41.221690284242335,137.62685378531123,0.0,655.2783358996992,102.09794839558833,84.68176867134675,172.63509341565944,191.09260465865034,81.7944699435775,68.85192926123086,75.29103262201834,52.82875404437326,0.10806557870432969,2.7474616521334925,0.2229759320680113,31.84164723779107,0.033333333333333215,0.008264462809917326,0.05371900826446281,0.30000000000000004,1,67,2.1802269942583927,0.9762210422052505,0.07724773040217782,0.009454161010262195,49,0.4049586776859504,1,88,0.7272727272727273,1,0.7619553245974449,0.02248636926864205,-1.1517901871881364,-15.197153259411792,2.0603607925331597,6.679515627894049,0,0,0,1,0.359987782485468,3.1504946496433566,98.88086196045784,2646.903304028627
08_04,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/08_04_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_04_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,484,121,120.0,30.0,30.0,1.0372040969816176,0.9215350289855436,0,severe_foot_penetration,,36,36,1,1,0,0.0,0,0.0,,1,0.8884799353061907,10,172.39268086106296,37.2613445041075,138.60978970613277,0.0,653.2185090906087,124.58021619418088,106.61217178274755,160.4776804858544,162.76909036174823,53.49235142752678,42.453933539616855,139.8691733406058,108.0610015266776,0.07597957506465747,0.8957872452659605,0.15258422958004364,1.9480107297808158,0.033333333333333215,0.008264462809917326,0.30165289256198347,0.8133333333333332,1,146,6.680101773667282,1.372623652123414,0.1076420011719525,0.04881855186895849,121,1.0,1,12,0.09917355371900827,1,0.7162062093515951,0.02745303822015046,2.6582554136392025,-2.5748206490946655,2.0513107642671047,1.7743209918370368,0,0,0,1,0.772540615881362,12.811049651107982,522.6795857254141,16493.197181617765
08_05,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_05_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_05_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,298,298,120.0,120.0,30.0,1.0431422379246211,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,49,0.6533333333333333,93,0.35264163269579,left_knee_joint(33); right_knee_joint(32); right_hip_roll_joint(13); left_hip_roll_joint(8); left_shoulder_roll_joint(7),1,0.883422217490665,10,341.6391581457848,63.96245515609254,409.20816310140276,0.0,658.5804209195038,370.09425376310213,463.5074487268384,416.47042551797546,386.7605243976948,166.1599426551728,186.78476740138734,195.52904787687936,230.8655920535091,0.02097621797034057,1.7190265026132573e-07,0.04135796285121653,2.5444437451708134e-14,0.0,0.0,0.21333333333333335,0.7333333333333333,1,4,0.342320272868574,2.5674020465143053,0.018257056440681596,0.00033129677463478494,7,0.09333333333333334,1,66,0.88,1,0.8071405277204194,0.036863997049344635,0.09831153973378372,0.923782352904695,2.3324990430782977,1.5662512668289752,0,0,0,1,0.8457609631449122,13.42553080504128,587.4642264565699,8178.528334682971
08_05,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/08_05_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_05_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,298,75,120.0,30.0,30.0,1.0431422379246211,0.9215350289855436,0,severe_foot_penetration;severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.883422217490665,10,191.75123328737268,41.810310851774624,171.36915335996878,0.0,660.3870782504183,159.6006095150983,151.54923545758152,183.8538218212098,190.47294664598553,99.65734757841919,92.64164864785505,99.97631426233197,87.62209740745408,0.1093177517393502,2.179523483637245,0.22832226305301662,10.500990780062336,0.0,0.0,0.12666666666666668,0.32,1,64,3.1576142246083214,1.4801316677851506,0.08299336955855208,0.015623580123721678,48,0.64,1,33,0.44,1,0.7452489152594766,0.02455514356154887,1.1862017823420847,-10.235971515290029,1.3332899527873678,6.501373201943152,0,0,0,1,0.6195024713805268,6.114870234109518,178.6783279836264,3555.9938456426316
08_05,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/08_05_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/08_05_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,298,74,120.0,29.798657718120804,30.0,1.0431422379246211,0.9215350289855436,0,severe_foot_penetration,,36,36,1,1,0,0.0,0,0.0,,1,0.883422217490665,10,172.36872727939505,37.051396174661456,143.01280286876943,0.0,659.3522010639482,127.82506573688643,107.6684605025099,166.3840149055268,170.17367033015466,56.46211249359933,45.579395435009914,119.33704343680579,98.53658161011413,0.07720594218165537,1.3621016775307178,0.1508281850230988,1.2756181265917483,0.03333333333333366,0.013513513513513644,0.31756756756756754,0.44000000000000006,1,108,6.265147453812074,1.7403187371700204,0.09715190539658156,0.04124589169791249,74,1.0,1,7,0.0945945945945946,1,0.7082810908070893,0.032293045439364926,2.0807141994963323,-0.24860238474356827,2.4111892529566323,1.9978338201044006,0,0,0,1,1.3145022586631208,19.403412434020925,723.0348846190237,9677.392861279699
09_01,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_01_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,148,148,120.0,120.0,30.0,1.0176644561421486,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,24,0.631578947368421,44,0.34155474590285473,left_knee_joint(23); right_knee_joint(21),1,0.9055391719968084,10,317.82014816612394,60.27625988729814,367.1856777501901,0.0,651.6538124665805,113.47456501248283,267.1393603435731,505.83500893198965,582.293776712715,192.86112817221448,227.8812556210727,126.66499530446244,192.57743093002475,0.0087635560095024,1.3844978047323143e-07,0.017357839350224023,0.0,0.0,0.0,0.19736842105263158,0.22000000000000003,1,9,1.250149950609164,4.167166502030547,0.03184297533574065,0.0034539000750697635,11,0.3157894736842105,1,24,0.631578947368421,1,0.8189538486197189,0.038390106507683305,-2.97566400786497,-0.6514987925956405,3.0486577915697715,2.465199755407034,0,0,0,1,0.9082887047643152,19.925067987411154,825.8870928800933,15036.759581466893
