trial_id,stage,mode,root_mode,motion_name,source_motion_pkl,returncode,log_path,command,num_frames,duration,duration_completed_ratio,has_nan,fall_down,mean_joint_position_error,max_joint_position_error,mean_joint_velocity_error,max_joint_velocity_error,mean_root_position_error,max_root_position_error,mean_root_rotation_error,max_root_rotation_error,mean_ctrl,max_ctrl,mean_torque,max_torque,root_height_min,root_height_mean,root_height_max,min_root_height,mean_jerk,max_jerk,foot_slip_score,foot_contact_accuracy,ground_penetration_depth,kp,kd,torque_clip,ignore_actuator_ctrlrange,time_scale,smooth_window,target_blend,root_height_offset,extra_joint_damping,score,success,failure_reason,output_pkl,video_path,video_error
0,stage1_replay,replay,kinematic,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00000_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00000_08_01_unitree_g1_gmr --mode replay --max_time 1.5,45,1.4719806763285026,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596174483998022,0.7065889500083631,0.7526473683956199,0.6596174483998022,697.6539211118475,10163.401935967631,1.076357253007441,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1546.1751608104169,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00000_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
1,stage1_replay,replay,kinematic,08_04_unitree_g1_gmr.pkl,outputs/final product/pkl/08_04_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00001_08_04_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_04_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00001_08_04_unitree_g1_gmr --mode replay --max_time 1.5,46,1.5,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6550637126682259,0.6927631765210439,0.7273349238672903,0.6550637126682259,611.4555787089367,16493.19722392072,0.7105317697319938,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1564.4672969576134,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00001_08_04_unitree_g1_gmr/08_04_unitree_g1_gmr_pd_tracking.pkl,,
2,stage1_replay,replay,kinematic,08_05_unitree_g1_gmr.pkl,outputs/final product/pkl/08_05_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00002_08_05_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_05_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00002_08_05_unitree_g1_gmr --mode replay --max_time 1.5,45,1.4765765765765768,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6459658010914161,0.6928248019822173,0.743978043333258,0.6459658010914161,661.1627637714289,9483.850795010992,1.1319874095589189,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1543.3940178944165,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00002_08_05_unitree_g1_gmr/08_05_unitree_g1_gmr_pd_tracking.pkl,,
3,stage1_replay,replay,kinematic,09_01_unitree_g1_gmr.pkl,outputs/final product/pkl/09_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00003_09_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/09_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00003_09_01_unitree_g1_gmr --mode replay --max_time 1.5,36,1.1666666666666667,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385236747804883,0.7753725479295084,0.8225009943156553,0.7385236747804883,1368.677348008546,20568.01093540993,0.3180320892451503,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1584.0847087642626,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00003_09_01_unitree_g1_gmr/09_01_unitree_g1_gmr_pd_tracking.pkl,,
4,stage1_replay,replay,kinematic,09_12_unitree_g1_gmr.pkl,outputs/final product/pkl/09_12_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00004_09_12_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/09_12_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00004_09_12_unitree_g1_gmr --mode replay --max_time 1.5,45,1.468197633959638,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7478062244137431,0.7662809550306494,0.7845531109657754,0.7478062244137431,643.5043531297835,7636.631721006576,0.4500763830581663,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1577.4897458035605,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00004_09_12_unitree_g1_gmr/09_12_unitree_g1_gmr_pd_tracking.pkl,,
5,stage1_replay,replay,kinematic,10_01_unitree_g1_gmr.pkl,outputs/final product/pkl/10_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00005_10_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/10_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00005_10_01_unitree_g1_gmr --mode replay --max_time 1.5,45,1.4685,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5988704644130963e-09,4.214684851089404e-08,0.0,0.0,0.0,0.0,0.781283038845976,0.782388010569023,0.7838058392123031,0.781283038845976,153.2530291140904,4719.621813402671,0.0096831736495541,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1599.5143087872311,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00005_10_01_unitree_g1_gmr/10_01_unitree_g1_gmr_pd_tracking.pkl,,
6,stage1_replay,replay,kinematic,13_01_unitree_g1_gmr.pkl,outputs/final product/pkl/13_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00006_13_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00006_13_01_unitree_g1_gmr --mode replay --max_time 1.5,45,1.4673010380622835,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7559445291347119,0.7680841658330588,0.7726872820536373,0.7559445291347119,273.3431250154762,4245.41908262102,0.1483410718431356,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1592.580212976593,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00006_13_01_unitree_g1_gmr/13_01_unitree_g1_gmr_pd_tracking.pkl,,
7,stage1_replay,replay,kinematic,13_11_unitree_g1_gmr.pkl,outputs/final product/pkl/13_11_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00007_13_11_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_11_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00007_13_11_unitree_g1_gmr --mode replay --max_time 1.5,45,1.477346278317152,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7097518496713259,0.7564823348479072,0.7661064707761357,0.7097518496713259,123.52195741540676,2956.5004301201698,0.035114229530915,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1598.24305330388,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00007_13_11_unitree_g1_gmr/13_11_unitree_g1_gmr_pd_tracking.pkl,,
8,stage1_replay,replay,kinematic,13_17_unitree_g1_gmr.pkl,outputs/final product/pkl/13_17_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage1_replay_00008_13_17_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_17_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00008_13_17_unitree_g1_gmr --mode replay --max_time 1.5,46,1.5,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6701630307948325,0.7393967154315734,0.7852791253408818,0.6701630307948325,832.041150868807,7982.477125802514,0.016649156777793,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1599.1592217496016,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage1_replay_00008_13_17_unitree_g1_gmr/13_17_unitree_g1_gmr_pd_tracking.pkl,,
9,stage2_kinematic,pd,kinematic,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_quick/logs/stage2_kinematic_00009_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage2_kinematic_00009_08_01_unitree_g1_gmr --mode pd --root_mode kinematic --kp 120.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.5 --target_blend 1.0 --root_height_offset 0.0 --extra_joint_damping 0.0 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --ignore_actuator_ctrlrange --sim_dt 0.002 --max_time 1.5,30,1.455253623188406,1.0,False,False,0.2364065760206067,2.170533742322059,20.27634608134304,341.55749117679346,0.0,0.0,0.0,0.0,45.90881397264848,150.0,45.90881397264848,150.0,0.6596174483998022,0.6972142166322054,0.7402911826036345,0.6596174483998022,18243554.74318708,186561370.09272903,9.556557763410051,,,120.0,3.0,150.0,True,1.5,0,1.0,0.0,0.0,1173.7989253638173,True,,outputs/final product/pd_tracking_tuning_quick/trial_pkls/stage2_kinematic_00009_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
