trial_id,stage,mode,root_mode,motion_name,source_motion_pkl,returncode,log_path,command,method,tracker_name,num_frames,duration,duration_completed_ratio,has_nan,fall_down,mean_joint_position_error,max_joint_position_error,mean_joint_velocity_error,max_joint_velocity_error,mean_root_position_error,max_root_position_error,mean_root_rotation_error,max_root_rotation_error,mean_ctrl,max_ctrl,mean_torque,max_torque,root_height_min,root_height_mean,root_height_max,min_root_height,mean_jerk,max_jerk,foot_slip_score,foot_contact_accuracy,ground_penetration_depth,kp,kd,torque_clip,ignore_actuator_ctrlrange,time_scale,smooth_window,target_blend,root_height_offset,extra_joint_damping,score,success,failure_reason,output_pkl,video_path,video_error
0,stage1_replay,replay,free,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00000_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00000_08_01_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,68,2.241425120772947,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596174483998022,0.71494767108288,0.763479551349674,0.6596174483998022,744.9811613450884,17156.191120744574,1.126146582133596,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1543.685221081707,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00000_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
1,stage1_replay,replay,free,08_04_unitree_g1_gmr.pkl,outputs/final product/pkl/08_04_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00001_08_04_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_04_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00001_08_04_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,91,3.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6550637126682259,0.7071189869243972,0.7493297871248974,0.6550637126682259,550.4191548684933,16493.19722392072,0.7635748769154672,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1561.815751962678,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00001_08_04_unitree_g1_gmr/08_04_unitree_g1_gmr_pd_tracking.pkl,,
2,stage1_replay,replay,free,08_05_unitree_g1_gmr.pkl,outputs/final product/pkl/08_05_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00002_08_05_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_05_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00002_08_05_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,73,2.4162162162162164,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6459658010914161,0.7083980601268441,0.7683927904343822,0.6459658010914161,710.5607431940949,9483.850795010996,0.95780617637383,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1552.1025855738767,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00002_08_05_unitree_g1_gmr/08_05_unitree_g1_gmr_pd_tracking.pkl,,
3,stage1_replay,replay,free,09_01_unitree_g1_gmr.pkl,outputs/final product/pkl/09_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00003_09_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/09_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00003_09_01_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,36,1.1666666666666667,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385236747804883,0.7753725479295084,0.8225009943156553,0.7385236747804883,1368.677348008546,20568.01093540993,0.3180320892451503,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1584.0847087642626,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00003_09_01_unitree_g1_gmr/09_01_unitree_g1_gmr_pd_tracking.pkl,,
4,stage1_replay,replay,free,09_12_unitree_g1_gmr.pkl,outputs/final product/pkl/09_12_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00004_09_12_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/09_12_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00004_09_12_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,90,2.9697633959638137,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423974699756306,0.7652398316126999,0.7845531109657754,0.7423974699756306,565.6747600151004,8399.125075553904,0.4596439240527442,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1577.0121470497627,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00004_09_12_unitree_g1_gmr/09_12_unitree_g1_gmr_pd_tracking.pkl,,
5,stage1_replay,replay,free,10_01_unitree_g1_gmr.pkl,outputs/final product/pkl/10_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00005_10_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/10_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00005_10_01_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,90,2.970375,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,7.994352322065483e-10,4.214684851089404e-08,0.0,0.0,0.0,0.0,0.781283038845976,0.7829835963441854,0.786371126083942,0.781283038845976,153.14384253676835,4719.6218134026885,0.0109243146980847,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1599.4522528266702,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00005_10_01_unitree_g1_gmr/10_01_unitree_g1_gmr_pd_tracking.pkl,,
6,stage1_replay,replay,free,13_01_unitree_g1_gmr.pkl,outputs/final product/pkl/13_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00006_13_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00006_13_01_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,90,2.967949826989619,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7559445291347119,0.7694143042125982,0.7758824396615891,0.7559445291347119,283.1106809010002,10772.150298276536,0.1501363143366323,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1592.4903531763591,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00006_13_01_unitree_g1_gmr/13_01_unitree_g1_gmr_pd_tracking.pkl,,
7,stage1_replay,replay,free,13_11_unitree_g1_gmr.pkl,outputs/final product/pkl/13_11_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00007_13_11_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_11_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00007_13_11_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,90,2.988268608414239,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233580460846317,0.7513665673350742,0.979023800265377,0.6233580460846317,454.1151930094168,24109.96960733511,0.1486025564767755,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1592.565331024231,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00007_13_11_unitree_g1_gmr/13_11_unitree_g1_gmr_pd_tracking.pkl,,
8,stage1_replay,replay,free,13_17_unitree_g1_gmr.pkl,outputs/final product/pkl/13_17_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage1_replay_00008_13_17_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/13_17_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00008_13_17_unitree_g1_gmr --mode replay --max_time 3.0,pd_tracking,gmr_pd_tracking,91,3.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6701630307948325,0.7423441130214792,0.8062288830478334,0.6701630307948325,1259.027234654216,20008.65082537167,0.0617322008999379,,,80.0,2.0,100.0,False,1.0,0,1.0,0.0,0.0,1596.9007996826565,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage1_replay_00008_13_17_unitree_g1_gmr/13_17_unitree_g1_gmr_pd_tracking.pkl,,
9,stage2_kinematic,pd,kinematic,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_refine_20260701/logs/stage2_kinematic_00009_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage2_kinematic_00009_08_01_unitree_g1_gmr --mode pd --root_mode kinematic --kp 100.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.7 --target_blend 0.8 --root_height_offset 0.0 --extra_joint_damping 0.0 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --smooth_ref --smooth_window 5 --sim_dt 0.002 --max_time 3.0,pd_tracking,gmr_pd_tracking,53,2.9573429951690824,1.0,False,False,0.3303881782016813,2.136458577627066,3.055497558784704,76.1060690465422,0.0,0.0,0.0,0.0,0.9494900142829872,1.0,0.9494900142829872,1.0,0.6642626398423734,0.707976232719209,0.7480841552332587,0.6642626398423734,737096.9158826928,13411605.78202304,0.1924002126820337,,,100.0,3.0,150.0,False,1.7,5,0.8,0.0,0.0,1457.3849352082034,True,,outputs/final product/pd_tracking_tuning_refine_20260701/trial_pkls/stage2_kinematic_00009_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
