_run_key,motion,tightening_percent,run_path,run_id,run_name,note,state,group,created_at,url,history_rows,history_columns,config.env_cfg.seed,config.env_cfg.scene.terrain.num_envs,config.env_cfg.scene.num_envs,config.env_cfg.rewards.joint_limit.weight,config.env_cfg.rewards.action_rate_l2.weight,config.env_cfg.rewards.motion_body_ori.params.std,config.env_cfg.rewards.motion_body_ori.weight,config.env_cfg.rewards.motion_body_pos.params.std,config.env_cfg.rewards.motion_body_pos.weight,config.env_cfg.rewards.self_collisions.params.force_threshold,config.env_cfg.rewards.self_collisions.weight,config.env_cfg.rewards.motion_body_ang_vel.params.std,config.env_cfg.rewards.motion_body_ang_vel.weight,config.env_cfg.rewards.motion_body_lin_vel.params.std,config.env_cfg.rewards.motion_body_lin_vel.weight,config.env_cfg.rewards.motion_global_root_ori.params.std,config.env_cfg.rewards.motion_global_root_ori.weight,config.env_cfg.rewards.motion_global_root_pos.params.std,config.env_cfg.rewards.motion_global_root_pos.weight,config.env_cfg.terminations.anchor_ori.params.threshold,config.env_cfg.terminations.anchor_pos.params.threshold,config.env_cfg.terminations.ee_body_pos.params.threshold,config.train_cfg.seed,config.train_cfg.actor.distribution_cfg.init_std,config.train_cfg.actor.distribution_cfg.std_type,config.train_cfg.resume,config.train_cfg.algorithm.learning_rate,config.train_cfg.max_iterations,config.train_cfg.load_checkpoint,config.train_cfg.num_steps_per_env,summary.Policy/mean_std,summary.Loss/learning_rate
run_000,135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,2026-07-19_13-18-42_124_11_control,baseline continued training,finished,,2026-07-19T12:18:59Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/n61zry8v,1000,40,42,4096,4096,-10,-0.1,0.4,1,0.3,1,10,-10,3.14,1,1.0,1,0.4,0.5,0.3,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.3625811040401459,7.593750000000004e-05
run_001,135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,2026-07-19_14-03-21_124_11_strict_10,,finished,,2026-07-19T13:03:36Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/t0v9ymkr,1000,40,42,4096,4096,-10,-0.1,0.36000000000000004,1,0.27,1,10,-10,2.826,1,0.9,1,0.36000000000000004,0.5,0.27,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.3518337905406952,7.593750000000004e-05
run_002,135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,2026-07-19_14-47-44_124_11_strict_20,,finished,,2026-07-19T13:47:59Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/5c6btig5,1000,40,42,4096,4096,-10,-0.1,0.32000000000000006,1,0.24,1,10,-10,2.5120000000000005,1,0.8,1,0.32000000000000006,0.5,0.24,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.34628501534461975,0.00011390625000000003
run_003,135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,2026-07-19_15-32-10_124_11_strict_30,,finished,,2026-07-19T14:32:25Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/x0bcsoex,1000,40,42,4096,4096,-10,-0.1,0.27999999999999997,1,0.21,1,10,-10,2.198,1,0.7,1,0.27999999999999997,0.5,0.21,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.3238518536090851,7.593750000000002e-05
run_004,135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,2026-07-19_16-16-36_124_11_strict_40,,finished,,2026-07-19T15:16:51Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/hi111qky,1000,40,42,4096,4096,-10,-0.1,0.24,1,0.18,1,10,-10,1.884,1,0.6,1,0.24,0.5,0.18,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.32129985094070435,7.593750000000002e-05
run_005,135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,2026-07-19_17-01-12_124_11_strict_50,,finished,,2026-07-19T16:01:27Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/4lxbgbhi,1000,40,42,4096,4096,-10,-0.1,0.2,1,0.15,1,10,-10,1.57,1,0.5,1,0.2,0.5,0.15,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.3061071038246155,0.00011390625000000003
run_006,135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,2026-07-19_17-45-37_124_11_strict_60,,finished,,2026-07-19T16:45:52Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/ipjv1mrp,1000,40,42,4096,4096,-10,-0.1,0.16000000000000003,1,0.12,1,10,-10,1.2560000000000002,1,0.4,1,0.16000000000000003,0.5,0.12,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.28956839442253113,7.593750000000002e-05
run_007,135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,2026-07-19_18-30-05_124_11_strict_70,,finished,,2026-07-19T17:30:16Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/j4lh9vbo,1000,40,42,4096,4096,-10,-0.1,0.12000000000000002,1,0.09000000000000001,1,10,-10,0.9420000000000002,1,0.30000000000000004,1,0.12000000000000002,0.5,0.09000000000000001,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.2702372372150421,7.593750000000002e-05
run_008,135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,2026-07-19_19-14-29_124_11_strict_80,,finished,,2026-07-19T18:14:39Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/wfyw2ox5,1000,40,42,4096,4096,-10,-0.1,0.07999999999999999,1,0.059999999999999984,1,10,-10,0.6279999999999999,1,0.19999999999999996,1,0.07999999999999999,0.5,0.059999999999999984,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.2414584904909134,0.00011390625000000003
run_009,135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,2026-07-19_20-41-46_124_11_strict_90,,finished,,2026-07-19T19:41:55Z,https://wandb.ai/wenboli787-university-of-glasgow/mjlab/runs/ulg9855a,1000,40,42,4096,4096,-10,-0.1,0.039999999999999994,1,0.029999999999999992,1,10,-10,0.31399999999999995,1,0.09999999999999998,1,0.039999999999999994,0.5,0.029999999999999992,0.5,0.8,0.25,0.25,42,1,scalar,True,0.001,1000,model_.*.pt,24,0.16630227863788605,7.593750000000002e-05
