Configuration,Short configuration,Metric,W&B metric,Mean,Temporal SD,N,Change vs Full (%),Absolute difference vs Full
Full,Full,Root position error,Episode_Metrics/root_position_error,,,0,,
Full,Full,Root orientation error,Episode_Metrics/root_orientation_error,,,0,,
Full,Full,Body position error,Episode_Metrics/body_position_error,,,0,,
Full,Full,Body orientation error,Episode_Metrics/body_orientation_error,,,0,,
Full,Full,Linear velocity error,Episode_Metrics/body_linear_velocity_error,,,0,,
Full,Full,Angular velocity error,Episode_Metrics/body_angular_velocity_error,,,0,,
No global root,No root,Root position error,Episode_Metrics/root_position_error,0.3296462309360504,0.01407948578022532,100,,
No global root,No root,Root orientation error,Episode_Metrics/root_orientation_error,0.3260767287015915,0.006636911084672398,100,,
No global root,No root,Body position error,Episode_Metrics/body_position_error,0.08682688973844051,0.000978543120096038,100,,
No global root,No root,Body orientation error,Episode_Metrics/body_orientation_error,0.38755268454551695,0.004644194625861561,100,,
No global root,No root,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.7967119026184082,0.012829592624017094,100,,
No global root,No root,Angular velocity error,Episode_Metrics/body_angular_velocity_error,3.3747598791122435,0.02601555133341078,100,,
No body pose,No body,Root position error,Episode_Metrics/root_position_error,0.23508036360144616,0.004616712444816647,100,,
No body pose,No body,Root orientation error,Episode_Metrics/root_orientation_error,0.1437741957604885,0.0017116672034680565,100,,
No body pose,No body,Body position error,Episode_Metrics/body_position_error,0.09935832396149635,0.0007646994770245702,100,,
No body pose,No body,Body orientation error,Episode_Metrics/body_orientation_error,0.6253387868404389,0.00533986697196994,100,,
No body pose,No body,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.7706314843893051,0.010178331010448394,100,,
No body pose,No body,Angular velocity error,Episode_Metrics/body_angular_velocity_error,3.4748118996620176,0.02813876079031827,100,,
No velocity,No velocity,Root position error,Episode_Metrics/root_position_error,0.34494960963726046,0.009118114273558513,100,,
No velocity,No velocity,Root orientation error,Episode_Metrics/root_orientation_error,0.16800277233123778,0.0021346005622240793,100,,
No velocity,No velocity,Body position error,Episode_Metrics/body_position_error,0.09171631693840027,0.001165669033819939,100,,
No velocity,No velocity,Body orientation error,Episode_Metrics/body_orientation_error,0.4628802162408829,0.0066311196920195645,100,,
No velocity,No velocity,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.8572637408971786,0.013040685780645425,100,,
No velocity,No velocity,Angular velocity error,Episode_Metrics/body_angular_velocity_error,4.221015019416809,0.035650219784738264,100,,
No action rate,No action,Root position error,Episode_Metrics/root_position_error,0.2914727863669395,0.011396473151108049,100,,
No action rate,No action,Root orientation error,Episode_Metrics/root_orientation_error,0.12806911811232566,0.002500274649111094,100,,
No action rate,No action,Body position error,Episode_Metrics/body_position_error,0.08344658382236958,0.0008324962449207242,100,,
No action rate,No action,Body orientation error,Episode_Metrics/body_orientation_error,0.540357518196106,0.007269763826854107,100,,
No action rate,No action,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.8489778810739517,0.009095489209970916,100,,
No action rate,No action,Angular velocity error,Episode_Metrics/body_angular_velocity_error,9.389617757797241,0.043430174691314355,100,,
No joint limit,No joint,Root position error,Episode_Metrics/root_position_error,0.3257980334758759,0.008399225902499034,100,,
No joint limit,No joint,Root orientation error,Episode_Metrics/root_orientation_error,0.1785693347454071,0.0029349374797911967,100,,
No joint limit,No joint,Body position error,Episode_Metrics/body_position_error,0.08416937008500099,0.0010694398829005894,100,,
No joint limit,No joint,Body orientation error,Episode_Metrics/body_orientation_error,0.4015554696321487,0.004235682934440237,100,,
No joint limit,No joint,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.7835284036397934,0.011327114543937505,100,,
No joint limit,No joint,Angular velocity error,Episode_Metrics/body_angular_velocity_error,3.602199378013611,0.02682805075393191,100,,
No self collision,No collision,Root position error,Episode_Metrics/root_position_error,0.35102166622877123,0.009244887536078618,100,,
No self collision,No collision,Root orientation error,Episode_Metrics/root_orientation_error,0.16342948943376542,0.002604319467893093,100,,
No self collision,No collision,Body position error,Episode_Metrics/body_position_error,0.07872796133160591,0.0012205451694669164,100,,
No self collision,No collision,Body orientation error,Episode_Metrics/body_orientation_error,0.3701029402017593,0.006086582491607594,100,,
No self collision,No collision,Linear velocity error,Episode_Metrics/body_linear_velocity_error,0.7369721776247025,0.013012758434373327,100,,
No self collision,No collision,Angular velocity error,Episode_Metrics/body_angular_velocity_error,3.4502190828323362,0.03390018322141073,100,,
