Metric,Configuration,Change vs Full (%)
Root position error,Full,
Root orientation error,Full,
Body position error,Full,
Body orientation error,Full,
Linear velocity error,Full,
Angular velocity error,Full,
Root position error,No global root,
Root orientation error,No global root,
Body position error,No global root,
Body orientation error,No global root,
Linear velocity error,No global root,
Angular velocity error,No global root,
Root position error,No body pose,
Root orientation error,No body pose,
Body position error,No body pose,
Body orientation error,No body pose,
Linear velocity error,No body pose,
Angular velocity error,No body pose,
Root position error,No velocity,
Root orientation error,No velocity,
Body position error,No velocity,
Body orientation error,No velocity,
Linear velocity error,No velocity,
Angular velocity error,No velocity,
Root position error,No action rate,
Root orientation error,No action rate,
Body position error,No action rate,
Body orientation error,No action rate,
Linear velocity error,No action rate,
Angular velocity error,No action rate,
Root position error,No joint limit,
Root orientation error,No joint limit,
Body position error,No joint limit,
Body orientation error,No joint limit,
Linear velocity error,No joint limit,
Angular velocity error,No joint limit,
Root position error,No self collision,
Root orientation error,No self collision,
Body position error,No self collision,
Body orientation error,No self collision,
Linear velocity error,No self collision,
Angular velocity error,No self collision,
