Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
Full,p5jxr34o,42,Train/mean_reward,100,100,7.461664166972878,0.7093380688245992,5.539278212562204,8.940796965360642,7.461305322125554,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Train/mean_episode_length,100,100,220.03740000000002,18.486934650386928,168.79,256.66,220.305,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Policy/mean_std,100,100,0.40265885680913927,0.0010212232316857736,0.40078607201576233,0.4042459726333618,0.4028209298849106,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/root_position_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/root_orientation_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/body_position_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/body_orientation_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/body_linear_velocity_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/body_angular_velocity_error,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/action_rate_l2_raw,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/joint_limit_raw,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Metrics/self_collision_raw,100,0,,,,,,,,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Termination/time_out,100,100,3.1329167437553407,0.34500276387253337,2.1666667461395264,3.9166667461395264,3.1666667461395264,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Termination/anchor_pos,100,100,1.9133333885669708,0.3466753484010904,1.0833333730697632,2.8333334922790527,1.8958333730697632,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Termination/anchor_ori,100,100,0.0,0.0,0.0,0.0,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
Full,p5jxr34o,42,Episode_Termination/ee_body_pos,100,100,14.145833654403686,0.8135164477780658,12.125,16.25,14.187500476837158,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Train/mean_reward,100,100,4.877732753919717,0.4626811510033469,3.8488691699504853,6.5432570160925385,4.9217151101958,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Train/mean_episode_length,100,100,182.31890000000004,15.284312211803277,149.67,236.11,183.70499999999998,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Policy/mean_std,100,100,0.3662834650278091,0.0017034812671629957,0.361665278673172,0.3679816424846649,0.36715544760227203,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/root_position_error,100,100,0.3296462309360504,0.01407948578022532,0.29991012811660767,0.35538190603256226,0.3302975594997406,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/root_orientation_error,100,100,0.3260767287015915,0.006636911084672398,0.30818235874176025,0.3411397337913513,0.32621802389621735,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/body_position_error,100,100,0.08682688973844051,0.000978543120096038,0.08415722101926804,0.08924448490142822,0.08685348555445671,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/body_orientation_error,100,100,0.38755268454551695,0.004644194625861561,0.3756398558616638,0.3989505171775818,0.3879544883966446,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/body_linear_velocity_error,100,100,0.7967119026184082,0.012829592624017094,0.7660767436027527,0.8296592235565186,0.796599805355072,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/body_angular_velocity_error,100,100,3.3747598791122435,0.02601555133341078,3.3254470825195312,3.4336135387420654,3.3733718395233154,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/action_rate_l2_raw,100,100,8.337305002212524,0.08141463450216928,8.131014823913574,8.502731323242188,8.355289459228516,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/joint_limit_raw,100,100,0.005045407121069729,0.0004739059929249428,0.0041670529171824455,0.0065985554829239845,0.004994142334908247,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Metrics/self_collision_raw,100,100,0.0025883329403586686,0.001420849957506227,0.0008124887244775891,0.01209304016083479,0.0023109017638489604,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Termination/time_out,100,100,2.0075000560283662,0.3211352006483659,1.2916667461395264,2.8333334922790527,2.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
