Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,0,-0.1470400930196047,8.24,1.001603126525879,0.061880435794591904,0.22522804141044617,0.07946860045194626,0.5226788520812988,1.1978517770767212,9.29429817199707,51.80751037597656,0.023977307602763176,0.08890227973461151,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.25
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,1,-0.19597854811698198,9.05,1.0031627416610718,0.06729598343372345,0.23831836879253387,0.08599160611629486,0.5675418972969055,1.2340519428253174,9.195517539978027,54.062469482421875,0.024156829342246056,0.0990222617983818,0.125,5.583333492279053,0.7083333730697632,492.79168701171875
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,2,0.09524075575172901,7.24,1.005735993385315,0.06761574745178223,0.23709699511528015,0.08594954013824463,0.5681837797164917,1.2341601848602295,9.203014373779297,54.177886962890625,0.02303367853164673,0.09129069745540619,0.0,6.2916669845581055,0.7916666865348816,490.3333435058594
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,3,0.005270223915576935,8.44,1.0081185102462769,0.0677366703748703,0.23833774030208588,0.08602108806371689,0.5713547468185425,1.233722448348999,9.226213455200195,54.633544921875,0.022533517330884933,0.08510341495275497,0.0,5.6666669845581055,0.25,490.3333435058594
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,4,0.08971339628100396,8.1,1.0104888677597046,0.06723327934741974,0.23427647352218628,0.0850411057472229,0.5690686702728271,1.2322224378585815,9.23459243774414,54.97971725463867,0.02184736542403698,0.0752268061041832,0.0,4.708333492279053,0.375,496.25
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,5,0.10798364501446485,7.95,1.0117906332015991,0.06720960140228271,0.23487703502178192,0.08565676212310791,0.570317268371582,1.2314807176589966,9.238692283630371,55.562469482421875,0.021013274788856506,0.0721702128648758,0.0,5.6666669845581055,0.4583333432674408,493.0
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,6,0.04585434257984161,8.98,1.013090968132019,0.06769784539937973,0.23585498332977295,0.08544417470693588,0.5715915560722351,1.2275372743606567,9.211244583129883,55.87286376953125,0.019948286935687065,0.06267648935317993,0.0,6.0416669845581055,0.4166666865348816,490.16668701171875
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,7,0.12031510710716248,8.58,1.014630913734436,0.06739817559719086,0.23605069518089294,0.08549849689006805,0.571814239025116,1.223285436630249,9.185644149780273,56.19823455810547,0.018814336508512497,0.05712135136127472,0.0,5.7916669845581055,0.4583333432674408,490.5
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,8,0.10879522193223239,7.67,1.01571524143219,0.06757571548223495,0.23577570915222168,0.08549659699201584,0.5727980136871338,1.222566843032837,9.175199508666992,56.598297119140625,0.01846548169851303,0.05138101801276207,0.0,5.875,0.375,491.3333435058594
No action rate,p6vbd18i,2026-07-17_17-50-34_05_04_gmr_no_action_rate_seed_42_iter_1000_20260717T143245Z,9,0.1599653309583664,7.71,1.0168992280960083,0.06757305562496185,0.23431769013404846,0.08498122543096542,0.5695271492004395,1.2181882858276367,9.147390365600586,56.82616424560547,0.017580270767211914,0.04425366222858429,0.0,4.6666669845581055,0.4166666865348816,493.04168701171875
