Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,0,-1.2232270455360412,8.24,0.9995448589324951,0.06188054010272026,0.22522911429405212,0.07946860045194626,0.5226786136627197,1.1978495121002197,9.29428482055664,51.80751037597656,0.023975541815161705,0.08826974034309387,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.25
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,1,-1.3581474912166596,9.13,0.9993128180503845,0.06714567542076111,0.23813974857330322,0.08593933284282684,0.5672720670700073,1.2356046438217163,9.207815170288086,53.64147186279297,0.024004176259040833,0.09851577132940292,0.125,5.5,0.7083333730697632,493.75
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,2,-1.0190094169974326,7.74,0.997004508972168,0.06720046699047089,0.23651838302612305,0.08581893146038055,0.566979169845581,1.2356488704681396,9.204559326171875,53.387413024902344,0.023252632468938828,0.0956076979637146,0.0,5.958333492279053,0.6666666865348816,493.04168701171875
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,3,-1.0368471708893776,7.58,0.9937751293182373,0.06753213703632355,0.23915354907512665,0.08600781857967377,0.5712825059890747,1.2378425598144531,9.237628936767578,53.104896545410156,0.022873681038618088,0.09035378694534302,0.0,5.5416669845581055,0.625,491.66668701171875
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,4,-1.1024443498253822,8.18,0.9900849461555481,0.06701883673667908,0.23484209179878235,0.08498255908489227,0.5679271221160889,1.239943027496338,9.258109092712402,52.53893280029297,0.0222557932138443,0.07925939559936523,0.0,5.0,0.5833333730697632,505.0
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,5,-1.2279603078961372,9.27,0.9857156872749329,0.06676694750785828,0.23598967492580414,0.08544661849737167,0.5698058605194092,1.240169882774353,9.266613006591797,51.92431640625,0.021693918853998184,0.07964690029621124,0.0,5.375,0.625,501.5833435058594
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,6,-0.9259734147787094,7.68,0.9815428256988525,0.06656626611948013,0.23446723818778992,0.08463822305202484,0.5669653415679932,1.2403804063796997,9.266672134399414,51.310569763183594,0.021109648048877716,0.07394544780254364,0.0,4.875,0.5416666865348816,506.25
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,7,-0.9153962188959122,8.32,0.9762711524963379,0.06595605611801147,0.23576931655406952,0.08470040559768677,0.5669698715209961,1.2402310371398926,9.252836227416992,50.64481735229492,0.019855011254549026,0.0673869326710701,0.0,4.4166669845581055,0.625,515.7083740234375
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,8,-0.9109059005975724,7.69,0.9712178111076355,0.06549072265625,0.2334991693496704,0.08439641445875168,0.567168653011322,1.2448830604553223,9.278223037719727,49.877105712890625,0.019272714853286743,0.06306065618991852,0.0,3.0833334922790527,0.5,521.5833740234375
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,9,-0.9371169596910477,7.95,0.9664124846458435,0.0651760846376419,0.23251859843730927,0.08350546658039093,0.56283038854599,1.2460148334503174,9.283019065856934,49.00544357299805,0.018791642040014267,0.054013691842556,0.0,3.125,0.4583333432674408,528.8333740234375
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,10,-0.783630619943142,7.56,0.9587878584861755,0.06500821560621262,0.23587429523468018,0.0838589072227478,0.5634485483169556,1.2481069564819336,9.293752670288086,48.198768615722656,0.01812310330569744,0.049858883023262024,0.0,3.875,0.6666666865348816,531.7083740234375
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,11,-0.8007602256536483,7.88,0.9531237483024597,0.0648040771484375,0.23250630497932434,0.08359553664922714,0.562110185623169,1.254577398300171,9.304304122924805,47.060142517089844,0.017345786094665527,0.04660316929221153,0.0,2.7916667461395264,0.5416666865348816,541.3333740234375
No body pose,y84gf3sj,2026-07-17_16-19-11_05_04_gmr_no_body_pose_seed_42_iter_1000_20260717T143245Z,12,-0.7423548032343388,8.27,0.9460715055465698,0.0634484589099884,0.23110175132751465,0.0831076055765152,0.5606677532196045,1.2502248287200928,9.290517807006836,46.135597229003906,0.016613859683275223,0.04263079911470413,0.0,2.75,0.7916666865348816,544.5416870117188
