Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,0,-0.6184912258386612,8.25,0.996378481388092,0.06182175874710083,0.22523564100265503,0.07945846766233444,0.5225487947463989,1.1978120803833008,9.294893264770508,51.79630661010742,0.023973125964403152,0.08881048858165741,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.375
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,1,-0.6228651167452335,8.16,0.9918175935745239,0.06725355237722397,0.23784969747066498,0.08585011959075928,0.5657787322998047,1.2359774112701416,9.195548057556152,52.94969940185547,0.024309789761900902,0.10327045619487762,0.125,6.0,0.875,496.875
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,2,-0.5879154133796692,8.34,0.9830387234687805,0.06718146055936813,0.2368902862071991,0.08576282858848572,0.5646905303001404,1.2388933897018433,9.19417667388916,51.884300231933594,0.022854795679450035,0.10745996236801147,0.0,5.9166669845581055,0.5,494.25
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,3,-0.5852898508310318,8.7,0.9726125597953796,0.06693723052740097,0.2373109757900238,0.08536630868911743,0.5649120807647705,1.2379417419433594,9.203056335449219,50.56005859375,0.02213548868894577,0.10638643801212311,0.0,5.0,0.625,497.7083435058594
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,4,-0.5685788843035698,8.57,0.9646528959274292,0.06660553812980652,0.2342619150876999,0.0845722109079361,0.5619089007377625,1.2382569313049316,9.18909740447998,48.988365173339844,0.02090170606970787,0.10597731918096542,0.0,4.583333492279053,0.625,511.79168701171875
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,5,-0.48492913991212844,7.93,0.9580541253089905,0.06646648794412613,0.23406314849853516,0.08462731540203094,0.5607483386993408,1.238836646080017,9.194663047790527,47.66474914550781,0.020110486075282097,0.1094348281621933,0.0,4.125,0.625,510.3333435058594
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,6,-0.4740257740020752,8.04,0.9515751004219055,0.06622092425823212,0.234089657664299,0.08429842442274094,0.5597063302993774,1.2385975122451782,9.180302619934082,46.507957458496094,0.01952877640724182,0.1090775653719902,0.0,4.5416669845581055,0.9583333730697632,512.25
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,7,-0.48306648030877114,8.65,0.9439700841903687,0.06567719578742981,0.2343570441007614,0.08409927785396576,0.5577496290206909,1.2404536008834839,9.168715476989746,45.34447479248047,0.018422722816467285,0.11111299693584442,0.0,3.875,1.0,522.4583740234375
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,8,-0.4221780685335398,7.96,0.934971272945404,0.06510572135448456,0.23408544063568115,0.08356830477714539,0.5562975406646729,1.243515968322754,9.176971435546875,44.046871185302734,0.017542283982038498,0.10941575467586517,0.0,2.7083334922790527,1.2083333730697632,531.2083740234375
No self collision,q2l4sxxn,2026-07-17_19-30-54_05_04_gmr_no_self_collision_seed_42_iter_1000_20260717T143245Z,9,-0.3552123176306486,7.2,0.9270254373550415,0.06488662213087082,0.2343769073486328,0.08298829197883606,0.5520567893981934,1.2426416873931885,9.157548904418945,42.71495056152344,0.016728229820728302,0.10935163497924805,0.0,2.4166667461395264,1.4583333730697632,542.5416870117188
