Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,0,-1.0818928208947183,8.24,0.999519944190979,0.06188037246465683,0.22522780299186707,0.07946863025426865,0.5226786136627197,1.1978532075881958,9.29430103302002,51.80751037597656,0.02397673949599266,0.08898677676916122,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.25
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,1,-1.3114853082597255,9.1,0.9987647533416748,0.06716475635766983,0.23846790194511414,0.08579917997121811,0.5663439631462097,1.2349891662597656,9.197999954223633,53.573509216308594,0.02439030073583126,0.09919502586126328,0.125,5.625,0.6666666865348816,493.54168701171875
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,2,-0.9628284230828286,8.08,0.9956836700439453,0.06750965863466263,0.2376680076122284,0.08611398935317993,0.5680782794952393,1.2362427711486816,9.194143295288086,53.25709533691406,0.02343144081532955,0.09861423075199127,0.0,6.625,0.5833333730697632,492.41668701171875
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,3,-0.9946233732998371,8.3,0.9936902523040771,0.06703415513038635,0.23680613934993744,0.08560788631439209,0.5690670609474182,1.2370775938034058,9.219717025756836,52.848541259765625,0.02285558357834816,0.09172584861516953,0.0,4.833333492279053,0.625,495.25
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,4,-1.0010335256159306,8.39,0.9901889562606812,0.06674152612686157,0.23333856463432312,0.08495589345693588,0.5669275522232056,1.2386380434036255,9.243547439575195,52.34684371948242,0.02234901487827301,0.08155855536460876,0.0,4.6666669845581055,0.5833333730697632,505.9583435058594
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,5,-0.8499090446531773,8.17,0.9860022664070129,0.06659112870693207,0.2347767949104309,0.08546879142522812,0.5685850381851196,1.2388113737106323,9.24796199798584,51.82818603515625,0.022217683494091034,0.08025993406772614,0.0,5.375,0.4583333432674408,500.125
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,6,-0.8310592830181122,7.86,0.9822743535041809,0.06656906008720398,0.23412995040416718,0.08495251834392548,0.5669971108436584,1.2373642921447754,9.238615036010742,51.26161193847656,0.0217919759452343,0.07389991730451584,0.0,4.9166669845581055,0.6666666865348816,504.875
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,7,-0.7680812692642212,7.83,0.9769730567932129,0.0660223662853241,0.23409566283226013,0.0848110169172287,0.5664472579956055,1.240531086921692,9.236322402954102,50.647117614746094,0.02093665860593319,0.06755485385656357,0.0,4.0416669845581055,0.4583333432674408,510.9583435058594
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,8,-0.7034198407083749,7.34,0.9697403907775879,0.06589613854885101,0.23347726464271545,0.08445094525814056,0.5653781890869141,1.2439936399459839,9.261175155639648,49.762969970703125,0.020401161164045334,0.06368895620107651,0.0,4.4166669845581055,0.625,516.625
No velocity,6rlspqk0,2026-07-17_17-04-40_05_04_gmr_no_velocity_seed_42_iter_1000_20260717T143245Z,9,-0.6343035574257374,8.0,0.9640880227088928,0.06508877873420715,0.23110583424568176,0.08392518758773804,0.5627421736717224,1.2450227737426758,9.249786376953125,48.808982849121094,0.01935822144150734,0.056515149772167206,0.0,4.083333492279053,0.4166666865348816,525.375
