Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
No action rate,p6vbd18i,0,0.0844137966632843,0.28290966153144836,2.0222883224487305,0.7865831255912781,1.3884341716766357,8.902446746826172,0,-0.0037145696114748716,-0.02517610788345337
No action rate,p6vbd18i,1,0.09762102365493774,0.31215840578079224,0.12726645171642303,0.788381814956665,1.47623610496521,9.129046440124512,0,-0.004803807474672794,-0.036433637142181396
No action rate,p6vbd18i,2,0.09798642247915268,0.31179141998291016,0.12736201286315918,0.7889541387557983,1.4770257472991943,9.114363670349121,0,-0.004555743187665939,-0.032977260649204254
No action rate,p6vbd18i,3,0.09824280440807343,0.31307709217071533,0.1275058090686798,0.7931069731712341,1.4765965938568115,9.14337158203125,0,-0.004471022170037031,-0.030607817694544792
No action rate,p6vbd18i,4,0.09663796424865723,0.3054259717464447,0.12579873204231262,0.7902543544769287,1.472435712814331,9.160015106201172,0,-0.004302111454308033,-0.026334738358855247
No action rate,p6vbd18i,5,0.09647941589355469,0.30687573552131653,0.12696905434131622,0.7929827570915222,1.4720690250396729,9.157331466674805,0,-0.004154793918132782,-0.024478688836097717
No action rate,p6vbd18i,6,0.09824709594249725,0.3094300329685211,0.12708410620689392,0.7939628958702087,1.4720869064331055,9.116434097290039,0,-0.004060560837388039,-0.021667731925845146
No action rate,p6vbd18i,7,0.09727068990468979,0.3091965913772583,0.12690763175487518,0.7942208647727966,1.4663652181625366,9.118524551391602,0,-0.003863593563437462,-0.019372452050447464
No action rate,p6vbd18i,8,0.0972275584936142,0.30829906463623047,0.12716370820999146,0.7964488863945007,1.4651763439178467,9.106650352478027,0,-0.0037915436550974846,-0.017266102135181427
No action rate,p6vbd18i,9,0.09693237394094467,0.3054623305797577,0.12612858414649963,0.7919973134994507,1.4587781429290771,9.07598876953125,0,-0.003588411957025528,-0.014672859571874142
No action rate,p6vbd18i,10,0.09628435224294662,0.3062590956687927,0.1263490915298462,0.7915538549423218,1.4565424919128418,9.05959701538086,0,-0.003460548585280776,-0.012876976281404495
No action rate,p6vbd18i,11,0.09650319069623947,0.30212628841400146,0.12622666358947754,0.7927181720733643,1.4495656490325928,9.03014087677002,0,-0.0033013734500855207,-0.010959776118397713
No action rate,p6vbd18i,12,0.09521631896495819,0.2987821698188782,0.12627670168876648,0.7926338911056519,1.4462387561798096,8.996983528137207,0,-0.0031380956061184406,-0.00988506618887186
No action rate,p6vbd18i,13,0.0980563759803772,0.3013061285018921,0.1270623505115509,0.7957242727279663,1.4456963539123535,8.99345588684082,0,-0.003073305357247591,-0.008274870924651623
No action rate,p6vbd18i,14,0.0971982479095459,0.2976418733596802,0.12590308487415314,0.7913553714752197,1.4379663467407227,8.95284652709961,0,-0.002865297719836235,-0.007253050338476896
No action rate,p6vbd18i,15,0.09796299785375595,0.299136221408844,0.12695343792438507,0.7948355674743652,1.4300410747528076,8.910421371459961,0,-0.0028653740882873535,-0.006738176103681326
No action rate,p6vbd18i,16,0.09738761186599731,0.29551470279693604,0.1267145574092865,0.7941646575927734,1.4263379573822021,8.88283920288086,0,-0.002637577708810568,-0.006095332559198141
No action rate,p6vbd18i,17,0.09771448373794556,0.2958883047103882,0.1265711784362793,0.7933895587921143,1.4183235168457031,8.8502836227417,0,-0.002548174001276493,-0.005070379003882408
No action rate,p6vbd18i,18,0.09997701644897461,0.29639932513237,0.12789501249790192,0.7931808233261108,1.4124553203582764,8.776142120361328,0,-0.0024841693229973316,-0.004660749342292547
No action rate,p6vbd18i,19,0.09937387704849243,0.2926344871520996,0.1276136338710785,0.7981974482536316,1.4059733152389526,8.743610382080078,0,-0.0023617157712578773,-0.003573495429009199
No action rate,p6vbd18i,20,0.09981465339660645,0.2937871813774109,0.1277010440826416,0.7946772575378418,1.3952926397323608,8.6481351852417,0,-0.0023005164694041014,-0.003402919275686145
No action rate,p6vbd18i,21,0.09958629310131073,0.29356610774993896,0.12724313139915466,0.7944716811180115,1.3857581615447998,8.615165710449219,0,-0.002197987399995327,-0.002737396163865924
No action rate,p6vbd18i,22,0.10170938819646835,0.2957954406738281,0.12893007695674896,0.7983347177505493,1.3767226934432983,8.489663124084473,0,-0.002230317099019885,-0.0026071069296449423
No action rate,p6vbd18i,23,0.10333907604217529,0.29286909103393555,0.1290586143732071,0.7979351282119751,1.3634955883026123,8.435456275939941,0,-0.002149915788322687,-0.0024675927124917507
No action rate,p6vbd18i,24,0.10531243681907654,0.3008855879306793,0.1304093301296234,0.7989847660064697,1.3559589385986328,8.338705062866211,0,-0.0021560422610491514,-0.0021767260041087866
No action rate,p6vbd18i,25,0.10451626777648926,0.29844436049461365,0.1302458494901657,0.7981230616569519,1.3377485275268555,8.272382736206055,0,-0.0020533644128590822,-0.002046859823167324
No action rate,p6vbd18i,26,0.10545613616704941,0.29982927441596985,0.12974151968955994,0.7950649261474609,1.3320621252059937,8.238899230957031,0,-0.002042848849669099,-0.001785529195331037
No action rate,p6vbd18i,27,0.10933776944875717,0.30191585421562195,0.13171285390853882,0.8035697937011719,1.3227159976959229,8.18519401550293,0,-0.0020323144271969795,-0.0017372921574860811
No action rate,p6vbd18i,28,0.10763595998287201,0.299096018075943,0.13130687177181244,0.7994861602783203,1.3092570304870605,8.099207878112793,0,-0.0019884377252310514,-0.0015146275982260704
No action rate,p6vbd18i,29,0.10877786576747894,0.29676276445388794,0.13120108842849731,0.7962891459465027,1.2934439182281494,8.020828247070312,0,-0.001943242154084146,-0.001382000744342804
No action rate,p6vbd18i,30,0.11191847175359726,0.3015400171279907,0.13298334181308746,0.7992846369743347,1.281869649887085,7.934126853942871,0,-0.0020311689004302025,-0.0012227329425513744
No action rate,p6vbd18i,31,0.11393696069717407,0.30350419878959656,0.13319100439548492,0.8002883791923523,1.27174973487854,7.8594970703125,0,-0.0020469417795538902,-0.0011835539480671287
No action rate,p6vbd18i,32,0.11679403483867645,0.30382630228996277,0.1344742476940155,0.8020310401916504,1.2602221965789795,7.833537578582764,0,-0.0020869732834398746,-0.0012869348283857107
No action rate,p6vbd18i,33,0.11911201477050781,0.308274507522583,0.13514965772628784,0.8048832416534424,1.2466474771499634,7.786203384399414,0,-0.0021957128774374723,-0.0010822911281138659
No action rate,p6vbd18i,34,0.121932253241539,0.31150752305984497,0.13588786125183105,0.800609290599823,1.2371771335601807,7.7126264572143555,0,-0.0022547466214746237,-0.001053215586580336
No action rate,p6vbd18i,35,0.12477027624845505,0.31456059217453003,0.13699305057525635,0.8033099174499512,1.226900577545166,7.655953884124756,0,-0.00238532735966146,-0.0012422672007232904
No action rate,p6vbd18i,36,0.1290065348148346,0.3167276084423065,0.13839510083198547,0.8046883344650269,1.2201380729675293,7.614227294921875,0,-0.002382411155849695,-0.0010360218584537506
No action rate,p6vbd18i,37,0.13267390429973602,0.32444247603416443,0.14008046686649323,0.806120753288269,1.2089011669158936,7.568228721618652,0,-0.0025495411828160286,-0.001106200972571969
No action rate,p6vbd18i,38,0.138275146484375,0.3285849392414093,0.142050102353096,0.8107959032058716,1.2015635967254639,7.549681663513184,0,-0.002599117113277316,-0.0008680362952873111
No action rate,p6vbd18i,39,0.143873929977417,0.33320656418800354,0.1437956988811493,0.8104826211929321,1.1981309652328491,7.484683990478516,0,-0.0029239426366984844,-0.0009499265579506755
No action rate,p6vbd18i,40,0.14773151278495789,0.3416275978088379,0.14494028687477112,0.8140968680381775,1.1961158514022827,7.433417320251465,0,-0.003161780536174774,-0.0010292013175785542
No action rate,p6vbd18i,41,0.15434736013412476,0.35403379797935486,0.14740602672100067,0.8181912302970886,1.1980955600738525,7.435947418212891,0,-0.003314375411719084,-0.0010577356442809105
No action rate,p6vbd18i,42,0.16187739372253418,0.3597084879875183,0.15071213245391846,0.8212448358535767,1.199216365814209,7.386025428771973,0,-0.0035880189388990402,-0.0010358067229390144
No action rate,p6vbd18i,43,0.16776275634765625,0.3720146119594574,0.1532168686389923,0.8234822154045105,1.208383560180664,7.359825134277344,0,-0.0038789163809269667,-0.0010603024857118726
No action rate,p6vbd18i,44,0.17563728988170624,0.3810853362083435,0.15635472536087036,0.8340877294540405,1.2116553783416748,7.368952751159668,0,-0.004176164977252483,-0.0015271713491529226
No action rate,p6vbd18i,45,0.18733817338943481,0.38909900188446045,0.16031783819198608,0.8347699642181396,1.229712724685669,7.37109375,0,-0.0047104572877287865,-0.0011934967478737235
No action rate,p6vbd18i,46,0.1967264860868454,0.40553808212280273,0.16511498391628265,0.8423385620117188,1.2452818155288696,7.38930606842041,0,-0.005028910934925079,-0.0009201467037200928
No action rate,p6vbd18i,47,0.20627710223197937,0.4097035825252533,0.16843411326408386,0.8471378087997437,1.2526377439498901,7.363564491271973,0,-0.005785809364169836,-0.001486307824961841
No action rate,p6vbd18i,48,0.2085878551006317,0.41419315338134766,0.16859540343284607,0.8417512774467468,1.25511634349823,7.383769989013672,0,-0.005848012864589691,-0.0012478585122153163
No action rate,p6vbd18i,49,0.217987060546875,0.4209427535533905,0.1744413822889328,0.8558477163314819,1.277430772781372,7.406096935272217,0,-0.006450660526752472,-0.0015468019992113113
No action rate,p6vbd18i,50,0.23024193942546844,0.437091201543808,0.17929419875144958,0.8591709136962891,1.2928011417388916,7.4071784019470215,0,-0.00687132915481925,-0.0012385910376906395
No action rate,p6vbd18i,51,0.23851272463798523,0.4403798282146454,0.18306276202201843,0.8683717250823975,1.3160364627838135,7.44916296005249,0,-0.007378041744232178,-0.0013464739313349128
No action rate,p6vbd18i,52,0.25241798162460327,0.4479672908782959,0.1874980330467224,0.8746500015258789,1.3383805751800537,7.433463096618652,0,-0.008310115896165371,-0.0014725327491760254
No action rate,p6vbd18i,53,0.260250061750412,0.4567495584487915,0.1923171579837799,0.8838704824447632,1.3494166135787964,7.456789016723633,0,-0.007884536869823933,-0.0014918269589543343
No action rate,p6vbd18i,54,0.2680232524871826,0.4578220248222351,0.19421224296092987,0.8780606985092163,1.35801100730896,7.4066877365112305,0,-0.007958890870213509,-0.001061936840415001
No action rate,p6vbd18i,55,0.27026715874671936,0.4582449793815613,0.19660799205303192,0.8877348899841309,1.3625707626342773,7.434083938598633,0,-0.0068732756190001965,-0.0010104543762281537
No action rate,p6vbd18i,56,0.2804540991783142,0.46175098419189453,0.20029352605342865,0.9030016660690308,1.3808892965316772,7.447188377380371,0,-0.006867819931358099,-0.0009829557966440916
No action rate,p6vbd18i,57,0.2998928427696228,0.47695788741111755,0.20856767892837524,0.9123204946517944,1.420518398284912,7.452212333679199,0,-0.0073627205565571785,-0.0012511293170973659
No action rate,p6vbd18i,58,0.3015855848789215,0.47599849104881287,0.2094261348247528,0.9184099435806274,1.427700400352478,7.452548980712891,0,-0.006728180684149265,-0.0008650528616271913
No action rate,p6vbd18i,59,0.303108274936676,0.4712185263633728,0.20850643515586853,0.9031509160995483,1.4166388511657715,7.378170013427734,0,-0.005837344564497471,-0.001026695012114942
No action rate,p6vbd18i,60,0.30446958541870117,0.4753529727458954,0.20849275588989258,0.9192826151847839,1.416435956954956,7.411524772644043,0,-0.005351092200726271,-0.0010786711936816573
No action rate,p6vbd18i,61,0.3036249876022339,0.4678926169872284,0.20749925076961517,0.9140958189964294,1.407950758934021,7.397036552429199,0,-0.0048095048405230045,-0.0008384159300476313
No action rate,p6vbd18i,62,0.30796319246292114,0.4755948483943939,0.20967058837413788,0.923755407333374,1.421173095703125,7.461932182312012,0,-0.004425461404025555,-0.0008882273687049747
