Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
No body pose,y84gf3sj,0,0.08441372960805893,0.28291285037994385,2.0222880840301514,0.786582350730896,1.388420820236206,8.902448654174805,-0.07387448847293854,-0.0037138485349714756,-0.025011254474520683
No body pose,y84gf3sj,1,0.09735620021820068,0.3117125630378723,0.12710554897785187,0.7883777022361755,1.477159857749939,9.137815475463867,-0.09016717970371246,-0.004748424980789423,-0.03629050403833389
No body pose,y84gf3sj,2,0.09717293083667755,0.310094952583313,0.12709031999111176,0.7869051694869995,1.4782018661499023,9.123069763183594,-0.0893745943903923,-0.004620708525180817,-0.034265074878931046
No body pose,y84gf3sj,3,0.09782980382442474,0.3140297532081604,0.1273500770330429,0.7920803427696228,1.4827210903167725,9.143012046813965,-0.08968162536621094,-0.004559988155961037,-0.0325053408741951
No body pose,y84gf3sj,4,0.09622746706008911,0.3065779209136963,0.12568020820617676,0.7885603904724121,1.483375072479248,9.14305305480957,-0.08669175952672958,-0.004335092380642891,-0.027484755963087082
No body pose,y84gf3sj,5,0.09562098234891891,0.3083266019821167,0.12613654136657715,0.7895292639732361,1.4817451238632202,9.156696319580078,-0.08589282631874084,-0.004252833314239979,-0.027196139097213745
No body pose,y84gf3sj,6,0.09531109035015106,0.30461549758911133,0.12489979714155197,0.7846039533615112,1.4842103719711304,9.166312217712402,-0.08417403697967529,-0.0041397991590201855,-0.025036362931132317
No body pose,y84gf3sj,7,0.09390630573034286,0.3062131404876709,0.12485989183187485,0.784788966178894,1.4813039302825928,9.154693603515625,-0.0827050730586052,-0.003904969897121191,-0.022522393614053726
No body pose,y84gf3sj,8,0.09251465648412704,0.30222246050834656,0.12429653108119965,0.785840630531311,1.4860467910766602,9.171640396118164,-0.07975355535745621,-0.0037075169384479523,-0.020157761871814728
No body pose,y84gf3sj,9,0.09147953987121582,0.30154672265052795,0.12260867655277252,0.7801666259765625,1.4863566160202026,9.17106819152832,-0.0772450715303421,-0.003544397186487913,-0.01689843088388443
No body pose,y84gf3sj,10,0.09143410623073578,0.30605944991111755,0.12328114360570908,0.7803141474723816,1.488485336303711,9.193593978881836,-0.07594981044530869,-0.0034632207825779915,-0.015475491993129253
No body pose,y84gf3sj,11,0.09036573022603989,0.30055922269821167,0.12242441624403,0.7797409296035767,1.493385672569275,9.198962211608887,-0.07238923013210297,-0.0033128270879387856,-0.013972144573926926
No body pose,y84gf3sj,12,0.08805704116821289,0.29878637194633484,0.12167631834745407,0.7770857810974121,1.4910567998886108,9.20175552368164,-0.07049570977687836,-0.0030993621330708265,-0.012371952645480633
No body pose,y84gf3sj,13,0.08832663297653198,0.2993667721748352,0.12098883837461472,0.773258626461029,1.4952466487884521,9.177999496459961,-0.06818881630897522,-0.003058261703699827,-0.010992458090186119
No body pose,y84gf3sj,14,0.08758481591939926,0.29945632815361023,0.12018027156591415,0.7697267532348633,1.4905517101287842,9.16734504699707,-0.06645958125591278,-0.002906759036704898,-0.009955065324902534
No body pose,y84gf3sj,15,0.08653436601161957,0.2973870635032654,0.11976897716522217,0.7672869563102722,1.4914476871490479,9.154499053955078,-0.06390787661075592,-0.002727000741288066,-0.008482066914439201
No body pose,y84gf3sj,16,0.08618883788585663,0.2981030344963074,0.11949959397315979,0.7662765383720398,1.4955089092254639,9.146188735961914,-0.06209966540336609,-0.0026116748340427876,-0.008378822356462479
No body pose,y84gf3sj,17,0.08590979874134064,0.3003406226634979,0.118785560131073,0.7614151835441589,1.4988540410995483,9.15406322479248,-0.06004737317562103,-0.0025129979476332664,-0.006937387865036726
No body pose,y84gf3sj,18,0.08402787148952484,0.2993178069591522,0.11786887049674988,0.757096529006958,1.4983015060424805,9.117124557495117,-0.05757356807589531,-0.0023196942638605833,-0.006063527427613735
No body pose,y84gf3sj,19,0.08408048003911972,0.29777565598487854,0.11766790598630905,0.7564818263053894,1.4993937015533447,9.117546081542969,-0.05573612451553345,-0.0021754507906734943,-0.0053288377821445465
No body pose,y84gf3sj,20,0.08398057520389557,0.302465558052063,0.11750923097133636,0.7551352977752686,1.5035079717636108,9.129993438720703,-0.054395001381635666,-0.002158785006031394,-0.00519450381398201
No body pose,y84gf3sj,21,0.08227910101413727,0.29910704493522644,0.11617285013198853,0.7530170679092407,1.506088137626648,9.154273986816406,-0.05247851461172104,-0.002002936555072665,-0.004148460924625397
No body pose,y84gf3sj,22,0.08183687180280685,0.2996048927307129,0.11587407439947128,0.7480936050415039,1.509453535079956,9.130487442016602,-0.0508451834321022,-0.0019160781521350145,-0.003621495794504881
No body pose,y84gf3sj,23,0.08129768073558807,0.2978581190109253,0.11524541676044464,0.7459704279899597,1.5102314949035645,9.13397216796875,-0.048904113471508026,-0.0017542404821142554,-0.0031514205038547516
No body pose,y84gf3sj,24,0.08136304467916489,0.30177032947540283,0.11536809056997299,0.7458576560020447,1.5124073028564453,9.107528686523438,-0.04784233495593071,-0.0017181768780574203,-0.002994257491081953
No body pose,y84gf3sj,25,0.0793868824839592,0.29909056425094604,0.11424221098423004,0.7430830001831055,1.5159492492675781,9.161722183227539,-0.04573444649577141,-0.001592877320945263,-0.0024789203889667988
