Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
No joint limit,6gq87ju7,0,0.0843142569065094,0.28291958570480347,2.022265911102295,0.7864561080932617,1.3881572484970093,8.904115676879883,-0.07383716106414795,0,-0.025030553340911865
No joint limit,6gq87ju7,1,0.09772650897502899,0.3118945062160492,0.12702713906764984,0.7874112129211426,1.475577712059021,9.123117446899414,-0.09020503610372543,0,-0.03660336881875992
No joint limit,6gq87ju7,2,0.09813620895147324,0.3104512095451355,0.12747541069984436,0.7872174978256226,1.478065013885498,9.110025405883789,-0.08947765827178955,0,-0.0351991206407547
No joint limit,6gq87ju7,3,0.09771499037742615,0.31069236993789673,0.12707297503948212,0.7906674146652222,1.4807357788085938,9.147117614746094,-0.08866916596889496,0,-0.03126020357012749
No joint limit,6gq87ju7,4,0.09593494981527328,0.3049619197845459,0.125839963555336,0.7898348569869995,1.4820235967636108,9.144789695739746,-0.08670370280742645,0,-0.027795903384685516
No joint limit,6gq87ju7,5,0.09615263342857361,0.307941198348999,0.12660148739814758,0.7896609306335449,1.4821500778198242,9.15732192993164,-0.08614043891429901,0,-0.02777547389268875
No joint limit,6gq87ju7,6,0.09546181559562683,0.30517518520355225,0.12550783157348633,0.7868930101394653,1.4818781614303589,9.144787788391113,-0.08428816497325897,0,-0.024239614605903625
No joint limit,6gq87ju7,7,0.0938466489315033,0.3062779903411865,0.12480928003787994,0.7833127379417419,1.479377269744873,9.148364067077637,-0.08128142356872559,0,-0.02062314935028553
No joint limit,6gq87ju7,8,0.09344670176506042,0.30102604627609253,0.12401782721281052,0.7810606360435486,1.4850564002990723,9.161977767944336,-0.07891329377889633,0,-0.019168339669704437
No joint limit,6gq87ju7,9,0.09215593338012695,0.300001323223114,0.12379413843154907,0.7801029682159424,1.4851558208465576,9.132081031799316,-0.07636287808418274,0,-0.017332902178168297
