Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
No velocity,6rlspqk0,0,0.08441361039876938,0.2829098701477051,2.0222878456115723,0.7865827083587646,1.388426661491394,8.902410507202148,-0.07387448847293854,-0.003714331891387701,-0.025184333324432373
No velocity,6rlspqk0,1,0.09740154445171356,0.3124856948852539,0.12692806124687195,0.7870138883590698,1.4773244857788086,9.136350631713867,-0.09015887975692749,-0.004793638829141855,-0.036542925983667374
No velocity,6rlspqk0,2,0.0979418009519577,0.31252068281173706,0.12779447436332703,0.78871750831604,1.4803532361984253,9.113109588623047,-0.08989904820919037,-0.004677589517086744,-0.035676222294569016
No velocity,6rlspqk0,3,0.09692253172397614,0.309338241815567,0.12669876217842102,0.7904572486877441,1.4782819747924805,9.122665405273438,-0.08862338960170746,-0.004478562623262405,-0.03276035189628601
No velocity,6rlspqk0,4,0.09566701948642731,0.3041149079799652,0.12553104758262634,0.7888245582580566,1.4799531698226929,9.159756660461426,-0.0864446610212326,-0.004365270957350731,-0.02835734188556671
No velocity,6rlspqk0,5,0.09492683410644531,0.30525827407836914,0.12600216269493103,0.7892019152641296,1.4768527746200562,9.14695930480957,-0.08533041179180145,-0.004299091175198555,-0.02725895866751671
No velocity,6rlspqk0,6,0.09513511508703232,0.30477434396743774,0.12555263936519623,0.7860112190246582,1.4777307510375977,9.144102096557617,-0.08491938561201096,-0.0042617893777787685,-0.025308584794402122
No velocity,6rlspqk0,7,0.09395197033882141,0.30446934700012207,0.12502452731132507,0.7851111888885498,1.4812562465667725,9.145357131958008,-0.0827050656080246,-0.004060094710439444,-0.0229911208152771
No velocity,6rlspqk0,8,0.09342513978481293,0.30269530415534973,0.12433909624814987,0.7845956683158875,1.4833927154541016,9.172174453735352,-0.08032731711864471,-0.003982231020927429,-0.020630385726690292
No velocity,6rlspqk0,9,0.09192230552434921,0.2981569170951843,0.12336324155330658,0.7804386615753174,1.4846915006637573,9.149829864501953,-0.07716234028339386,-0.0037070633843541145,-0.018000464886426926
No velocity,6rlspqk0,10,0.09310168027877808,0.30222493410110474,0.12409164756536484,0.7827177047729492,1.4848248958587646,9.114953994750977,-0.07647095620632172,-0.003617670387029648,-0.016728602349758148
No velocity,6rlspqk0,11,0.09195735305547714,0.2983468174934387,0.1236514300107956,0.7802967429161072,1.4897878170013428,9.129257202148438,-0.07437469810247421,-0.0035252287052571774,-0.015179349109530449
No velocity,6rlspqk0,12,0.08943434804677963,0.2956732511520386,0.1218094676733017,0.7733769416809082,1.4885551929473877,9.163888931274414,-0.07066218554973602,-0.0032135217916220427,-0.012837491929531097
No velocity,6rlspqk0,13,0.08941292017698288,0.29500502347946167,0.12163867801427841,0.7735671401023865,1.487269401550293,9.1383056640625,-0.06894033402204514,-0.003146942239254713,-0.011623303405940533
No velocity,6rlspqk0,14,0.08899480104446411,0.29443496465682983,0.12096338719129562,0.7687346935272217,1.4880380630493164,9.10061264038086,-0.06699489802122116,-0.003013822017237544,-0.010824916884303093
No velocity,6rlspqk0,15,0.08907626569271088,0.29512953758239746,0.12106897681951523,0.768258810043335,1.4936985969543457,9.12429141998291,-0.064781054854393,-0.002912389812991023,-0.009506069123744965
No velocity,6rlspqk0,16,0.0878169983625412,0.29520556330680847,0.1199331283569336,0.7631936073303223,1.4920623302459717,9.110406875610352,-0.06263966858386993,-0.0027177417650818825,-0.007775803562253714
No velocity,6rlspqk0,17,0.0864022821187973,0.29138004779815674,0.11891107261180878,0.7603079676628113,1.4954948425292969,9.14405632019043,-0.06005975231528282,-0.002606572350487113,-0.00730131845921278
No velocity,6rlspqk0,18,0.0856061577796936,0.2940661311149597,0.1186438724398613,0.7580105662345886,1.501270055770874,9.149391174316406,-0.059254806488752365,-0.0025252406485378742,-0.006093056872487068
No velocity,6rlspqk0,19,0.08521394431591034,0.2948756217956543,0.11825454235076904,0.7551945447921753,1.5042178630828857,9.151399612426758,-0.05737152695655823,-0.002431608270853758,-0.005652477033436298
No velocity,6rlspqk0,20,0.08335171639919281,0.2935865819454193,0.11721619218587875,0.7524816393852234,1.5039128065109253,9.175235748291016,-0.05489727854728699,-0.0022791761439293623,-0.004682975355535746
No velocity,6rlspqk0,21,0.0834740400314331,0.294444739818573,0.11702820658683777,0.751213550567627,1.5071853399276733,9.15368938446045,-0.05345740169286728,-0.0021630465053021908,-0.004236102104187012
No velocity,6rlspqk0,22,0.08337531983852386,0.2961790859699249,0.11669670045375824,0.749212920665741,1.508424162864685,9.138993263244629,-0.0515761524438858,-0.002065959619358182,-0.0037150669377297163
No velocity,6rlspqk0,23,0.0822736844420433,0.29414302110671997,0.116053007543087,0.744843602180481,1.5090665817260742,9.114439010620117,-0.04900718852877617,-0.0018882451113313437,-0.0032132684718817472
No velocity,6rlspqk0,24,0.08095893263816833,0.2929741442203522,0.11512687802314758,0.7423605918884277,1.5123939514160156,9.101336479187012,-0.04720265418291092,-0.001770739327184856,-0.0027925451286137104
No velocity,6rlspqk0,25,0.08069220185279846,0.2930685877799988,0.114893838763237,0.7399702072143555,1.5123698711395264,9.095741271972656,-0.045955028384923935,-0.0017266928916797042,-0.0026378247421234846
No velocity,6rlspqk0,26,0.07997600734233856,0.2944542467594147,0.11433007568120956,0.7382689714431763,1.519322156906128,9.132085800170898,-0.04453625530004501,-0.001604895805940032,-0.002376466989517212
No velocity,6rlspqk0,27,0.0798659473657608,0.2941157817840576,0.1141270250082016,0.7345635294914246,1.5184605121612549,9.106855392456055,-0.04343569278717041,-0.0015422357246279716,-0.0020523692946881056
No velocity,6rlspqk0,28,0.08006133139133453,0.296047568321228,0.1141701489686966,0.7353803515434265,1.5238447189331055,9.103636741638184,-0.042322199791669846,-0.0015171004924923182,-0.0016880275215953588
No velocity,6rlspqk0,29,0.07888410985469818,0.29486146569252014,0.11359156668186188,0.7329850196838379,1.5280050039291382,9.138343811035156,-0.04071775823831558,-0.0014131765346974134,-0.001699992222711444
No velocity,6rlspqk0,30,0.07863368839025497,0.2925599217414856,0.11313550919294357,0.7311703562736511,1.528918981552124,9.11474609375,-0.03937666118144989,-0.0013626029249280691,-0.0014318855246528983
No velocity,6rlspqk0,31,0.07880178093910217,0.291742205619812,0.11287339776754379,0.7292072176933289,1.5314817428588867,9.113256454467773,-0.03817100450396538,-0.0013382157776504755,-0.0012593886349350214
No velocity,6rlspqk0,32,0.07807013392448425,0.289664089679718,0.11262601613998413,0.7281853556632996,1.5354598760604858,9.119382858276367,-0.037045057862997055,-0.0012416797690093517,-0.0012949173105880618
No velocity,6rlspqk0,33,0.07843507826328278,0.29325321316719055,0.11301230639219284,0.727401614189148,1.536749243736267,9.086275100708008,-0.0361563041806221,-0.0011821689549833536,-0.001332076033577323
No velocity,6rlspqk0,34,0.07742516696453094,0.2876995801925659,0.11177035421133041,0.7221555709838867,1.5384035110473633,9.094366073608398,-0.03458377718925476,-0.001088227378204465,-0.000984057318419218
No velocity,6rlspqk0,35,0.07772913575172424,0.28909313678741455,0.11190630495548248,0.720587432384491,1.5406063795089722,9.080839157104492,-0.03370543569326401,-0.0010699548292905092,-0.0010596370557323098
No velocity,6rlspqk0,36,0.07747812569141388,0.29010146856307983,0.11179614067077637,0.7205944061279297,1.5427091121673584,9.087032318115234,-0.032704636454582214,-0.0009980625472962856,-0.000932850525714457
