motion,method,mean_root_relative_mpjpe_cm,pelvis_root_error_cm,mpjpe_excluding_zero_root_cm,root_inclusion_understatement_percent
05_04,Direct Mapping,27.43767847975449,0.0,29.397512656879808,6.666666666666667
05_04,Basic IK,26.05935383353976,0.0,27.92073625022117,6.666666666666667
05_04,GMR,26.46894912290212,0.0,28.359588345966557,6.666666666666667
111_23,Direct Mapping,20.38807927671063,0.0,21.844370653618533,6.666666666666667
111_23,Basic IK,17.79982275970114,0.0,19.071238671108365,6.666666666666667
111_23,GMR,18.634270998618245,0.0,19.965290355662404,6.666666666666667
113_20,Direct Mapping,19.18883251634854,0.0,20.559463410373436,6.666666666666667
113_20,Basic IK,15.858374722835787,0.0,16.991115774466916,6.666666666666667
113_20,GMR,17.360359457826643,0.0,18.60038513338569,6.666666666666667
113_21,Direct Mapping,17.198730161808754,0.0,18.42721088765224,6.666666666666667
113_21,Basic IK,14.663575820690143,0.0,15.710974093596581,6.666666666666667
113_21,GMR,15.99388812485245,0.0,17.136308705199053,6.666666666666667
114_15,Direct Mapping,20.29210361352058,0.0,21.74153958591491,6.666666666666667
114_15,Basic IK,18.2657564073408,0.0,19.570453293579426,6.666666666666667
114_15,GMR,18.975262143868623,0.0,20.33063801128781,6.666666666666667
124_11,Direct Mapping,20.679463073056255,0.0,22.156567578274558,6.666666666666667
124_11,Basic IK,18.738509135665844,0.0,20.07697407392769,6.666666666666667
124_11,GMR,20.04288720741268,0.0,21.47452200794216,6.666666666666667
135_04,Direct Mapping,25.2264297076061,0.0,27.028317543863682,6.666666666666667
135_04,Basic IK,24.53949260904373,0.0,26.29231350968971,6.666666666666667
135_04,GMR,25.417131978191787,0.0,27.232641405205488,6.666666666666667
47_01,Direct Mapping,19.366018646868717,0.0,20.749305693073627,6.666666666666667
47_01,Basic IK,17.403173838473588,0.0,18.646257684078844,6.666666666666667
47_01,GMR,18.880149339815738,0.0,20.228731435516863,6.666666666666667
76_10,Direct Mapping,17.66332043740873,0.0,18.92498618293792,6.666666666666667
76_10,Basic IK,16.834475276307014,0.0,18.03693779604323,6.666666666666667
76_10,GMR,17.675906356905855,0.0,18.938471096684847,6.666666666666667
