motion,method,file_path,processing_stage,error_type,error_message,traceback_summary,recoverable,metrics_completed
05_04,direct_mapping,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/05_04_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,success_thresholds,EvaluationFailure,severe_ground_penetration;long_ground_penetration;long_self_collision;joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
05_04,basic_ik,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/05_04_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,success_thresholds,EvaluationFailure,long_ground_penetration;long_self_collision;joint_limit_violation;motion_discontinuity,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
05_04,gmr,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/05_04_poses_unitree_g1_gmr.pkl,success_thresholds,EvaluationFailure,severe_ground_penetration;long_ground_penetration,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
111_23,direct_mapping,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/111_23_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,success_thresholds,EvaluationFailure,long_ground_penetration;joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
111_23,basic_ik,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/111_23_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,success_thresholds,EvaluationFailure,long_ground_penetration;long_self_collision;joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
111_23,gmr,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/111_23_poses_unitree_g1_gmr.pkl,success_thresholds,EvaluationFailure,severe_ground_penetration;long_ground_penetration,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
113_20,direct_mapping,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/113_20_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,success_thresholds,EvaluationFailure,joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
113_20,basic_ik,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/113_20_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,success_thresholds,EvaluationFailure,long_ground_penetration;long_self_collision;joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
113_20,gmr,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/113_20_poses_unitree_g1_gmr.pkl,success_thresholds,EvaluationFailure,severe_ground_penetration;long_ground_penetration,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
113_21,direct_mapping,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/113_21_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,success_thresholds,EvaluationFailure,long_ground_penetration;joint_limit_violation,,True,"mujoco_forward_kinematics,source_similarity,smoothness_and_discontinuity,contact_and_physical"
