metric,comparison,valid_pair_count,statistic,raw_p_value,corrected_p_value,significant,effect_size,effect_size_interpretation
global_body_position_error_mean,Friedman: all methods,9,14.0,0.0009118819655545164,0.0009118819655545164,True,0.7777777777777778,large
global_body_position_error_mean,direct_mapping vs basic_ik,9,12.0,0.25,0.25,False,0.4666666666666667,medium
global_body_position_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_mean,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
root_relative_position_error_mean,Friedman: all methods,9,3.555555555555543,0.16901331540606715,0.16901331540606715,False,0.19753086419753016,small
root_relative_position_error_mean,direct_mapping vs basic_ik,9,11.0,0.203125,0.2578125,False,0.5111111111111111,large
root_relative_position_error_mean,direct_mapping vs gmr,9,9.0,0.12890625,0.2578125,False,0.6,large
root_relative_position_error_mean,basic_ik vs gmr,9,6.0,0.0546875,0.1640625,False,0.7333333333333333,large
scale_normalised_position_error_mean,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
scale_normalised_position_error_mean,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
scale_normalised_position_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
scale_normalised_position_error_mean,basic_ik vs gmr,9,15.0,0.42578125,0.42578125,False,0.3333333333333333,medium
end_effector_error_mean,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
end_effector_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_mean,basic_ik vs gmr,9,17.0,0.5703125,0.5703125,False,0.24444444444444444,small
body_orientation_error_mean,Friedman: all methods,9,18.0,0.00012340980408667962,0.00012340980408667962,True,1.0,large
body_orientation_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
