pair,collision_frames,graph_distance,maximum_penetration_mm
left_shoulder_yaw_link | torso_link,582,3,106.6040804489156
right_shoulder_yaw_link | torso_link,455,3,110.81037041150418
left_elbow_link | torso_link,122,4,106.97465266272118
left_elbow_link | right_elbow_link,117,8,50.17146619005538
right_elbow_link | torso_link,104,4,121.59801622968024
left_wrist_roll_link | torso_link,97,5,85.90771304412118
left_shoulder_roll_link | left_wrist_roll_link,88,3,53.59038675117245
left_wrist_pitch_link | torso_link,87,6,73.81268399311737
left_shoulder_roll_link | left_wrist_pitch_link,81,4,63.490930571455124
left_wrist_pitch_link | right_wrist_pitch_link,79,12,52.418426777979626
left_elbow_link | right_shoulder_yaw_link,75,7,66.13577016126001
left_shoulder_yaw_link | right_shoulder_yaw_link,70,6,76.29791657157416
left_wrist_roll_link | right_wrist_roll_link,64,10,46.46747615969917
left_wrist_roll_link | right_wrist_pitch_link,62,11,55.04689602643365
left_wrist_pitch_link | right_rubber_hand,61,14,69.66305910269355
right_shoulder_roll_link | right_wrist_roll_link,61,3,44.94227558756992
left_elbow_link | right_wrist_roll_link,59,9,35.998310883532575
left_wrist_pitch_link | right_wrist_roll_link,58,11,46.746731825395116
right_shoulder_roll_link | right_wrist_pitch_link,58,4,64.21408889854001
left_shoulder_roll_link | left_wrist_yaw_link,57,5,51.38406026572083
left_wrist_pitch_link | right_wrist_yaw_link,55,13,54.86039875475042
left_shoulder_pitch_link | left_wrist_pitch_link,55,5,54.64935223446569
left_shoulder_yaw_link | left_wrist_pitch_link,54,3,4.153689183101955
left_wrist_yaw_link | right_wrist_pitch_link,52,13,48.371036495521814
left_shoulder_pitch_link | left_wrist_roll_link,52,4,8.64751121526035
left_wrist_roll_link | right_elbow_link,50,9,41.13023433064861
left_shoulder_pitch_link | left_wrist_yaw_link,50,6,49.04781947189174
left_wrist_yaw_link | right_wrist_yaw_link,49,14,45.24183075206238
left_wrist_yaw_link | right_rubber_hand,47,15,49.45642025126079
left_rubber_hand | right_rubber_hand,43,16,56.27556269153518
left_shoulder_yaw_link | right_shoulder_roll_link,42,5,20.794802150248113
left_wrist_yaw_link | torso_link,42,7,25.436250927228635
right_wrist_roll_link | torso_link,37,5,96.98025598850296
left_elbow_link | right_wrist_pitch_link,31,10,22.90711816615052
left_rubber_hand | pelvis,30,11,96.79067831675951
left_rubber_hand | right_wrist_yaw_link,29,15,30.640747239457035
left_rubber_hand | right_wrist_pitch_link,28,14,29.7530986943134
left_wrist_roll_link | right_rubber_hand,27,13,40.05420270923864
left_wrist_roll_link | right_wrist_yaw_link,26,12,17.284600882841673
left_wrist_yaw_link | pelvis,25,10,60.377208391118984
right_shoulder_roll_link | right_wrist_yaw_link,25,5,62.965294917512416
left_wrist_pitch_link | waist_yaw_link,24,8,54.538187187512264
left_wrist_pitch_link | right_elbow_link,22,10,59.04703895110826
left_wrist_yaw_link | waist_yaw_link,22,9,41.70960571960781
left_rubber_hand | right_hip_pitch_link,21,12,73.16028164179157
right_wrist_pitch_link | torso_link,20,6,96.60410576805732
left_rubber_hand | right_hip_roll_link,20,13,35.48793147337928
right_shoulder_pitch_link | right_wrist_yaw_link,20,6,50.02699552045853
right_shoulder_pitch_link | right_wrist_pitch_link,19,5,54.622057164280925
left_wrist_pitch_link | pelvis,17,9,49.89059662327065
pelvis | torso_link,16,3,10.625441324638652
left_wrist_roll_link | waist_yaw_link,14,7,15.932027435338027
left_wrist_roll_link | right_shoulder_yaw_link,13,8,30.138789515968096
right_rubber_hand | torso_link,13,8,56.19904789462841
left_shoulder_yaw_link | right_elbow_link,12,7,10.751594493654713
left_elbow_link | right_shoulder_roll_link,11,6,35.996412541327636
right_rubber_hand | right_shoulder_pitch_link,10,7,25.293464318334443
right_shoulder_yaw_link | right_wrist_pitch_link,10,3,3.2984148143536554
right_wrist_yaw_link | torso_link,9,7,84.12132059255619
left_wrist_pitch_link | waist_roll_link,8,7,25.67539428782047
right_rubber_hand | right_shoulder_roll_link,8,6,12.924304721175988
left_wrist_yaw_link | right_wrist_roll_link,6,12,33.9991029692205
left_wrist_pitch_link | right_shoulder_yaw_link,6,9,15.932750284999992
right_shoulder_pitch_link | right_wrist_roll_link,6,4,8.587355727605676
left_hip_pitch_link | left_rubber_hand,5,12,56.236270390908565
left_shoulder_yaw_link | right_rubber_hand,5,11,54.322072498797816
left_shoulder_roll_link | right_shoulder_yaw_link,5,5,5.207769142316607
left_ankle_roll_link | right_ankle_roll_link,5,12,7.388968432947205
left_hip_roll_link | left_rubber_hand,4,13,42.74201408137986
left_shoulder_roll_link | right_rubber_hand,4,10,48.62185982990706
left_wrist_roll_link | waist_roll_link,4,6,9.462829976221458
left_rubber_hand | torso_link,4,8,7.159396291737628
right_hip_roll_link | right_wrist_yaw_link,3,12,49.23880331061905
right_hip_roll_link | right_wrist_pitch_link,3,11,35.7463505093707
pelvis | right_wrist_pitch_link,3,9,45.053948365882796
left_wrist_yaw_link | right_elbow_link,2,11,26.213365820605294
left_shoulder_pitch_link | right_wrist_pitch_link,2,7,3.9465435769972896
left_rubber_hand | waist_yaw_link,2,10,4.616896692499053
right_hip_yaw_link | right_rubber_hand,2,14,70.37934532014239
right_hip_roll_link | right_rubber_hand,2,13,34.35446478790499
left_hip_pitch_link | right_rubber_hand,2,12,62.53759594770612
pelvis | right_wrist_yaw_link,2,10,56.58766202080648
pelvis | right_rubber_hand,2,11,35.17705048953971
right_wrist_pitch_link | waist_yaw_link,2,8,14.666370627538017
right_wrist_roll_link | waist_yaw_link,2,7,13.310643888396177
left_hip_roll_link | right_rubber_hand,2,13,34.18067007839601
left_elbow_link | right_rubber_hand,2,12,7.14160519608799
left_rubber_hand | left_shoulder_pitch_link,2,7,2.234216903281702
right_hip_pitch_link | right_wrist_yaw_link,1,11,3.5693601132637234
pelvis | right_wrist_roll_link,1,8,19.700212527372194
left_shoulder_pitch_link | right_rubber_hand,1,9,5.032524305381401
left_wrist_roll_link | pelvis,1,8,4.015180401163096
left_wrist_yaw_link | waist_roll_link,1,8,1.627398339973993
