kind,method,motion,file,frames,fps,schema
reference,Reference,05_04,05_04_poses.npz,1199,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,05_04,05_04_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,300,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,05_04,05_04_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,300,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,05_04,05_04_poses_unitree_g1_gmr.pkl,298,29.924937447873226,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,111_23,111_23_poses.npz,1129,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,111_23,111_23_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,283,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,111_23,111_23_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,283,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,111_23,111_23_poses_unitree_g1_gmr.pkl,281,29.973427812223207,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,113_20,113_20_poses.npz,1448,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,113_20,113_20_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,362,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,113_20,113_20_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,362,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,113_20,113_20_poses_unitree_g1_gmr.pkl,361,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,113_21,113_21_poses.npz,1367,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,113_21,113_21_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,342,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,113_21,113_21_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,342,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,113_21,113_21_poses_unitree_g1_gmr.pkl,340,29.934162399414777,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,114_15,114_15_poses.npz,1384,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,114_15,114_15_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,346,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,114_15,114_15_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,346,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,114_15,114_15_poses_unitree_g1_gmr.pkl,345,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,124_11,124_11_poses.npz,998,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
