motion,method,joint,violating_frames_gt_0p1deg,max_excess_deg
05_04,Direct Mapping,left_hip_pitch_joint,0,0.0
05_04,Direct Mapping,left_hip_roll_joint,0,0.0
05_04,Direct Mapping,left_hip_yaw_joint,0,0.0
05_04,Direct Mapping,left_knee_joint,97,16.604622884134795
05_04,Direct Mapping,left_ankle_pitch_joint,13,10.831235929680858
05_04,Direct Mapping,left_ankle_roll_joint,98,29.590409999522684
05_04,Direct Mapping,right_hip_pitch_joint,0,0.0
05_04,Direct Mapping,right_hip_roll_joint,0,0.0
05_04,Direct Mapping,right_hip_yaw_joint,0,0.0
05_04,Direct Mapping,right_knee_joint,0,0.0
05_04,Direct Mapping,right_ankle_pitch_joint,19,14.645750789522287
05_04,Direct Mapping,right_ankle_roll_joint,40,26.524455120595057
05_04,Direct Mapping,waist_yaw_joint,0,0.0
05_04,Direct Mapping,waist_roll_joint,0,0.0
05_04,Direct Mapping,waist_pitch_joint,26,27.740045038539346
05_04,Direct Mapping,left_shoulder_pitch_joint,16,7.306703192969692
05_04,Direct Mapping,left_shoulder_roll_joint,86,43.53454770659332
05_04,Direct Mapping,left_shoulder_yaw_joint,0,0.0
05_04,Direct Mapping,left_elbow_joint,0,0.0
05_04,Direct Mapping,left_wrist_roll_joint,0,0.0
05_04,Direct Mapping,left_wrist_pitch_joint,0,0.0
05_04,Direct Mapping,left_wrist_yaw_joint,0,0.0
05_04,Direct Mapping,right_shoulder_pitch_joint,0,0.0
05_04,Direct Mapping,right_shoulder_roll_joint,67,28.418021705628668
05_04,Direct Mapping,right_shoulder_yaw_joint,9,12.12031310285073
05_04,Direct Mapping,right_elbow_joint,7,28.118807313220117
05_04,Direct Mapping,right_wrist_roll_joint,0,0.0
05_04,Direct Mapping,right_wrist_pitch_joint,0,0.0
05_04,Direct Mapping,right_wrist_yaw_joint,0,0.0
111_23,Direct Mapping,left_hip_pitch_joint,0,0.0
111_23,Direct Mapping,left_hip_roll_joint,0,0.0
111_23,Direct Mapping,left_hip_yaw_joint,0,0.0
111_23,Direct Mapping,left_knee_joint,209,40.052512869700166
111_23,Direct Mapping,left_ankle_pitch_joint,0,0.0
111_23,Direct Mapping,left_ankle_roll_joint,0,0.0
111_23,Direct Mapping,right_hip_pitch_joint,0,0.0
111_23,Direct Mapping,right_hip_roll_joint,0,0.0
111_23,Direct Mapping,right_hip_yaw_joint,0,0.0
111_23,Direct Mapping,right_knee_joint,67,18.002522109988526
111_23,Direct Mapping,right_ankle_pitch_joint,0,0.013679386323210184
111_23,Direct Mapping,right_ankle_roll_joint,3,0.23731079296920177
111_23,Direct Mapping,waist_yaw_joint,0,0.0
111_23,Direct Mapping,waist_roll_joint,0,0.0
111_23,Direct Mapping,waist_pitch_joint,0,0.0
111_23,Direct Mapping,left_shoulder_pitch_joint,0,0.0
111_23,Direct Mapping,left_shoulder_roll_joint,0,0.0
111_23,Direct Mapping,left_shoulder_yaw_joint,0,0.0
111_23,Direct Mapping,left_elbow_joint,0,0.0
111_23,Direct Mapping,left_wrist_roll_joint,0,0.0
111_23,Direct Mapping,left_wrist_pitch_joint,0,0.0
111_23,Direct Mapping,left_wrist_yaw_joint,0,0.0
111_23,Direct Mapping,right_shoulder_pitch_joint,0,0.0
111_23,Direct Mapping,right_shoulder_roll_joint,0,0.0
111_23,Direct Mapping,right_shoulder_yaw_joint,0,0.0
