motion_name,method,metric,available,reason
05_04,direct_mapping,global_body_position_error_mean,True,
05_04,direct_mapping,root_relative_position_error_mean,True,
05_04,direct_mapping,scale_normalised_position_error_mean,True,
05_04,direct_mapping,end_effector_error_mean,True,
05_04,direct_mapping,body_orientation_error_mean,True,
05_04,direct_mapping,root_trajectory_error_mean,True,
05_04,direct_mapping,total_foot_sliding_distance,True,
05_04,direct_mapping,maximum_ground_penetration,True,
05_04,direct_mapping,self_collision_frame_ratio,True,
05_04,direct_mapping,joint_limit_violation_ratio,True,
05_04,direct_mapping,rms_joint_jerk,True,
05_04,direct_mapping,discontinuity_frame_ratio,True,
05_04,basic_ik,global_body_position_error_mean,True,
05_04,basic_ik,root_relative_position_error_mean,True,
05_04,basic_ik,scale_normalised_position_error_mean,True,
05_04,basic_ik,end_effector_error_mean,True,
05_04,basic_ik,body_orientation_error_mean,True,
05_04,basic_ik,root_trajectory_error_mean,True,
05_04,basic_ik,total_foot_sliding_distance,True,
05_04,basic_ik,maximum_ground_penetration,True,
05_04,basic_ik,self_collision_frame_ratio,True,
05_04,basic_ik,joint_limit_violation_ratio,True,
05_04,basic_ik,rms_joint_jerk,True,
05_04,basic_ik,discontinuity_frame_ratio,True,
05_04,gmr,global_body_position_error_mean,True,
05_04,gmr,root_relative_position_error_mean,True,
05_04,gmr,scale_normalised_position_error_mean,True,
05_04,gmr,end_effector_error_mean,True,
05_04,gmr,body_orientation_error_mean,True,
05_04,gmr,root_trajectory_error_mean,True,
05_04,gmr,total_foot_sliding_distance,True,
05_04,gmr,maximum_ground_penetration,True,
05_04,gmr,self_collision_frame_ratio,True,
05_04,gmr,joint_limit_violation_ratio,True,
05_04,gmr,rms_joint_jerk,True,
05_04,gmr,discontinuity_frame_ratio,True,
111_23,direct_mapping,global_body_position_error_mean,True,
111_23,direct_mapping,root_relative_position_error_mean,True,
111_23,direct_mapping,scale_normalised_position_error_mean,True,
111_23,direct_mapping,end_effector_error_mean,True,
111_23,direct_mapping,body_orientation_error_mean,True,
111_23,direct_mapping,root_trajectory_error_mean,True,
111_23,direct_mapping,total_foot_sliding_distance,True,
111_23,direct_mapping,maximum_ground_penetration,True,
111_23,direct_mapping,self_collision_frame_ratio,True,
111_23,direct_mapping,joint_limit_violation_ratio,True,
111_23,direct_mapping,rms_joint_jerk,True,
111_23,direct_mapping,discontinuity_frame_ratio,True,
111_23,basic_ik,global_body_position_error_mean,True,
111_23,basic_ik,root_relative_position_error_mean,True,
111_23,basic_ik,scale_normalised_position_error_mean,True,
111_23,basic_ik,end_effector_error_mean,True,
111_23,basic_ik,body_orientation_error_mean,True,
111_23,basic_ik,root_trajectory_error_mean,True,
111_23,basic_ik,total_foot_sliding_distance,True,
111_23,basic_ik,maximum_ground_penetration,True,
111_23,basic_ik,self_collision_frame_ratio,True,
111_23,basic_ik,joint_limit_violation_ratio,True,
111_23,basic_ik,rms_joint_jerk,True,
111_23,basic_ik,discontinuity_frame_ratio,True,
111_23,gmr,global_body_position_error_mean,True,
111_23,gmr,root_relative_position_error_mean,True,
111_23,gmr,scale_normalised_position_error_mean,True,
111_23,gmr,end_effector_error_mean,True,
111_23,gmr,body_orientation_error_mean,True,
111_23,gmr,root_trajectory_error_mean,True,
111_23,gmr,total_foot_sliding_distance,True,
111_23,gmr,maximum_ground_penetration,True,
111_23,gmr,self_collision_frame_ratio,True,
111_23,gmr,joint_limit_violation_ratio,True,
111_23,gmr,rms_joint_jerk,True,
111_23,gmr,discontinuity_frame_ratio,True,
113_20,direct_mapping,global_body_position_error_mean,True,
113_20,direct_mapping,root_relative_position_error_mean,True,
113_20,direct_mapping,scale_normalised_position_error_mean,True,
113_20,direct_mapping,end_effector_error_mean,True,
113_20,direct_mapping,body_orientation_error_mean,True,
113_20,direct_mapping,root_trajectory_error_mean,True,
113_20,direct_mapping,total_foot_sliding_distance,True,
113_20,direct_mapping,maximum_ground_penetration,True,
113_20,direct_mapping,self_collision_frame_ratio,True,
113_20,direct_mapping,joint_limit_violation_ratio,True,
113_20,direct_mapping,rms_joint_jerk,True,
113_20,direct_mapping,discontinuity_frame_ratio,True,
113_20,basic_ik,global_body_position_error_mean,True,
113_20,basic_ik,root_relative_position_error_mean,True,
113_20,basic_ik,scale_normalised_position_error_mean,True,
113_20,basic_ik,end_effector_error_mean,True,
113_20,basic_ik,body_orientation_error_mean,True,
113_20,basic_ik,root_trajectory_error_mean,True,
113_20,basic_ik,total_foot_sliding_distance,True,
113_20,basic_ik,maximum_ground_penetration,True,
113_20,basic_ik,self_collision_frame_ratio,True,
113_20,basic_ik,joint_limit_violation_ratio,True,
113_20,basic_ik,rms_joint_jerk,True,
113_20,basic_ik,discontinuity_frame_ratio,True,
113_20,gmr,global_body_position_error_mean,True,
113_20,gmr,root_relative_position_error_mean,True,
113_20,gmr,scale_normalised_position_error_mean,True,
113_20,gmr,end_effector_error_mean,True,
113_20,gmr,body_orientation_error_mean,True,
113_20,gmr,root_trajectory_error_mean,True,
113_20,gmr,total_foot_sliding_distance,True,
113_20,gmr,maximum_ground_penetration,True,
113_20,gmr,self_collision_frame_ratio,True,
113_20,gmr,joint_limit_violation_ratio,True,
113_20,gmr,rms_joint_jerk,True,
113_20,gmr,discontinuity_frame_ratio,True,
113_21,direct_mapping,global_body_position_error_mean,True,
113_21,direct_mapping,root_relative_position_error_mean,True,
113_21,direct_mapping,scale_normalised_position_error_mean,True,
113_21,direct_mapping,end_effector_error_mean,True,
113_21,direct_mapping,body_orientation_error_mean,True,
113_21,direct_mapping,root_trajectory_error_mean,True,
113_21,direct_mapping,total_foot_sliding_distance,True,
113_21,direct_mapping,maximum_ground_penetration,True,
113_21,direct_mapping,self_collision_frame_ratio,True,
113_21,direct_mapping,joint_limit_violation_ratio,True,
113_21,direct_mapping,rms_joint_jerk,True,
113_21,direct_mapping,discontinuity_frame_ratio,True,
113_21,basic_ik,global_body_position_error_mean,True,
113_21,basic_ik,root_relative_position_error_mean,True,
113_21,basic_ik,scale_normalised_position_error_mean,True,
113_21,basic_ik,end_effector_error_mean,True,
113_21,basic_ik,body_orientation_error_mean,True,
113_21,basic_ik,root_trajectory_error_mean,True,
113_21,basic_ik,total_foot_sliding_distance,True,
113_21,basic_ik,maximum_ground_penetration,True,
113_21,basic_ik,self_collision_frame_ratio,True,
113_21,basic_ik,joint_limit_violation_ratio,True,
113_21,basic_ik,rms_joint_jerk,True,
113_21,basic_ik,discontinuity_frame_ratio,True,
113_21,gmr,global_body_position_error_mean,True,
113_21,gmr,root_relative_position_error_mean,True,
113_21,gmr,scale_normalised_position_error_mean,True,
113_21,gmr,end_effector_error_mean,True,
113_21,gmr,body_orientation_error_mean,True,
113_21,gmr,root_trajectory_error_mean,True,
113_21,gmr,total_foot_sliding_distance,True,
113_21,gmr,maximum_ground_penetration,True,
113_21,gmr,self_collision_frame_ratio,True,
113_21,gmr,joint_limit_violation_ratio,True,
113_21,gmr,rms_joint_jerk,True,
113_21,gmr,discontinuity_frame_ratio,True,
114_15,direct_mapping,global_body_position_error_mean,True,
114_15,direct_mapping,root_relative_position_error_mean,True,
114_15,direct_mapping,scale_normalised_position_error_mean,True,
114_15,direct_mapping,end_effector_error_mean,True,
114_15,direct_mapping,body_orientation_error_mean,True,
114_15,direct_mapping,root_trajectory_error_mean,True,
114_15,direct_mapping,total_foot_sliding_distance,True,
114_15,direct_mapping,maximum_ground_penetration,True,
114_15,direct_mapping,self_collision_frame_ratio,True,
114_15,direct_mapping,joint_limit_violation_ratio,True,
114_15,direct_mapping,rms_joint_jerk,True,
114_15,direct_mapping,discontinuity_frame_ratio,True,
114_15,basic_ik,global_body_position_error_mean,True,
114_15,basic_ik,root_relative_position_error_mean,True,
114_15,basic_ik,scale_normalised_position_error_mean,True,
114_15,basic_ik,end_effector_error_mean,True,
114_15,basic_ik,body_orientation_error_mean,True,
114_15,basic_ik,root_trajectory_error_mean,True,
114_15,basic_ik,total_foot_sliding_distance,True,
114_15,basic_ik,maximum_ground_penetration,True,
114_15,basic_ik,self_collision_frame_ratio,True,
114_15,basic_ik,joint_limit_violation_ratio,True,
114_15,basic_ik,rms_joint_jerk,True,
114_15,basic_ik,discontinuity_frame_ratio,True,
114_15,gmr,global_body_position_error_mean,True,
114_15,gmr,root_relative_position_error_mean,True,
114_15,gmr,scale_normalised_position_error_mean,True,
114_15,gmr,end_effector_error_mean,True,
114_15,gmr,body_orientation_error_mean,True,
114_15,gmr,root_trajectory_error_mean,True,
114_15,gmr,total_foot_sliding_distance,True,
114_15,gmr,maximum_ground_penetration,True,
114_15,gmr,self_collision_frame_ratio,True,
114_15,gmr,joint_limit_violation_ratio,True,
114_15,gmr,rms_joint_jerk,True,
114_15,gmr,discontinuity_frame_ratio,True,
124_11,direct_mapping,global_body_position_error_mean,True,
124_11,direct_mapping,root_relative_position_error_mean,True,
124_11,direct_mapping,scale_normalised_position_error_mean,True,
124_11,direct_mapping,end_effector_error_mean,True,
124_11,direct_mapping,body_orientation_error_mean,True,
124_11,direct_mapping,root_trajectory_error_mean,True,
124_11,direct_mapping,total_foot_sliding_distance,True,
124_11,direct_mapping,maximum_ground_penetration,True,
124_11,direct_mapping,self_collision_frame_ratio,True,
124_11,direct_mapping,joint_limit_violation_ratio,True,
124_11,direct_mapping,rms_joint_jerk,True,
124_11,direct_mapping,discontinuity_frame_ratio,True,
124_11,basic_ik,global_body_position_error_mean,True,
124_11,basic_ik,root_relative_position_error_mean,True,
124_11,basic_ik,scale_normalised_position_error_mean,True,
124_11,basic_ik,end_effector_error_mean,True,
124_11,basic_ik,body_orientation_error_mean,True,
124_11,basic_ik,root_trajectory_error_mean,True,
124_11,basic_ik,total_foot_sliding_distance,True,
124_11,basic_ik,maximum_ground_penetration,True,
124_11,basic_ik,self_collision_frame_ratio,True,
124_11,basic_ik,joint_limit_violation_ratio,True,
124_11,basic_ik,rms_joint_jerk,True,
124_11,basic_ik,discontinuity_frame_ratio,True,
124_11,gmr,global_body_position_error_mean,True,
124_11,gmr,root_relative_position_error_mean,True,
124_11,gmr,scale_normalised_position_error_mean,True,
124_11,gmr,end_effector_error_mean,True,
124_11,gmr,body_orientation_error_mean,True,
124_11,gmr,root_trajectory_error_mean,True,
124_11,gmr,total_foot_sliding_distance,True,
124_11,gmr,maximum_ground_penetration,True,
124_11,gmr,self_collision_frame_ratio,True,
124_11,gmr,joint_limit_violation_ratio,True,
124_11,gmr,rms_joint_jerk,True,
124_11,gmr,discontinuity_frame_ratio,True,
135_04,direct_mapping,global_body_position_error_mean,True,
135_04,direct_mapping,root_relative_position_error_mean,True,
135_04,direct_mapping,scale_normalised_position_error_mean,True,
135_04,direct_mapping,end_effector_error_mean,True,
135_04,direct_mapping,body_orientation_error_mean,True,
135_04,direct_mapping,root_trajectory_error_mean,True,
135_04,direct_mapping,total_foot_sliding_distance,True,
