motion_name,method,body_name,global_position_error_mean,root_relative_position_error_mean,scale_normalised_position_error_mean,motion_range_difference,body_orientation_error_mean_deg,body_orientation_error_max_deg,body_or_pair,metric,value
05_04,direct_mapping,pelvis/root,1.4525697349633384,0.26954446660372694,0.1591606085852975,0.042918080971996585,,,,,
05_04,direct_mapping,torso,1.4910392756351514,0.4476060209511681,0.15486382960517267,0.078138433491446,,,,,
05_04,direct_mapping,head,1.484050800081807,0.44765973211709253,0.21711886520552515,0.12411080705125253,,,,,
05_04,direct_mapping,left_shoulder,1.492245147537599,0.38757699297732046,0.17176139902647994,0.21875607169129596,,,,,
05_04,direct_mapping,right_shoulder,1.43646481641124,0.3977750867451456,0.19723250278173585,0.2416663520240682,,,,,
05_04,direct_mapping,left_elbow,1.6490371322659216,0.5169555972157364,0.28206456988697115,0.5139172242808272,,,,,
05_04,direct_mapping,right_elbow,1.4152002997778008,0.5219238071725506,0.27428571805801955,0.45822413047783744,,,,,
05_04,direct_mapping,left_hand,1.67910713856005,0.6290107431442507,0.3485373153110119,0.4144981021133473,,,,,
05_04,direct_mapping,right_hand,1.364833973874864,0.7268100470865998,0.5189855783111805,0.613693405488637,,,,,
05_04,direct_mapping,left_hip,1.4476457742843643,0.27973810727515025,0.1445470206246345,0.2488607797493676,,,,,
05_04,direct_mapping,right_hip,1.4478784655920705,0.27739540975296256,0.1469724885783631,0.14450547006688172,,,,,
05_04,direct_mapping,left_knee,1.3996906995317642,0.3082766097153271,0.27489426302034486,0.5976456489302747,,,,,
05_04,direct_mapping,right_knee,1.4536543386218594,0.24305469412263125,0.13492342491026355,0.17857189965054193,,,,,
05_04,direct_mapping,left_foot,1.3262373002522574,0.5360152856930998,0.5475989915511069,0.7554774834709023,,,,,
05_04,direct_mapping,right_foot,1.455812974192929,0.20605661073990514,0.12305531328312522,0.29351076828236955,,,,,
05_04,direct_mapping,pelvis/root,,,,,1.538018894070882,8.592966029281573,,,
05_04,direct_mapping,torso,,,,,7.684156192736637,20.964672528776692,,,
05_04,direct_mapping,left_foot,,,,,17.57555023170557,47.67398006866962,,,
05_04,direct_mapping,right_foot,,,,,16.559543409294413,63.330813692987384,,,
05_04,direct_mapping,left_hand,,,,,53.65308225480906,153.15576750982777,,,
05_04,direct_mapping,right_hand,,,,,43.190721216951886,171.46922474636412,,,
05_04,direct_mapping,,,,,,,,left_shoulder_yaw_link | torso_link,self_collision_frame_count,126.0
05_04,direct_mapping,,,,,,,,right_shoulder_yaw_link | torso_link,self_collision_frame_count,111.0
05_04,direct_mapping,,,,,,,,left_shoulder_roll_link | torso_link,self_collision_frame_count,120.0
05_04,direct_mapping,,,,,,,,left_elbow_link | torso_link,self_collision_frame_count,113.0
05_04,direct_mapping,,,,,,,,left_wrist_roll_link | torso_link,self_collision_frame_count,93.0
05_04,direct_mapping,,,,,,,,right_shoulder_roll_link | torso_link,self_collision_frame_count,89.0
05_04,direct_mapping,,,,,,,,left_wrist_pitch_link | right_elbow_link,self_collision_frame_count,10.0
05_04,direct_mapping,,,,,,,,left_wrist_pitch_link | right_wrist_roll_link,self_collision_frame_count,2.0
05_04,direct_mapping,,,,,,,,left_wrist_roll_link | right_elbow_link,self_collision_frame_count,13.0
05_04,direct_mapping,,,,,,,,left_wrist_yaw_link | right_elbow_link,self_collision_frame_count,2.0
05_04,direct_mapping,,,,,,,,left_wrist_roll_link | right_shoulder_yaw_link,self_collision_frame_count,10.0
05_04,direct_mapping,,,,,,,,left_elbow_link | right_shoulder_yaw_link,self_collision_frame_count,72.0
05_04,direct_mapping,,,,,,,,left_wrist_yaw_link | right_wrist_pitch_link,self_collision_frame_count,1.0
05_04,direct_mapping,,,,,,,,left_wrist_pitch_link | right_wrist_pitch_link,self_collision_frame_count,1.0
05_04,direct_mapping,,,,,,,,left_wrist_yaw_link | right_wrist_roll_link,self_collision_frame_count,1.0
05_04,direct_mapping,,,,,,,,left_elbow_link | right_elbow_link,self_collision_frame_count,54.0
05_04,direct_mapping,,,,,,,,left_wrist_pitch_link | right_shoulder_yaw_link,self_collision_frame_count,6.0
05_04,direct_mapping,,,,,,,,right_elbow_link | torso_link,self_collision_frame_count,95.0
05_04,direct_mapping,,,,,,,,left_shoulder_yaw_link | right_shoulder_yaw_link,self_collision_frame_count,62.0
05_04,direct_mapping,,,,,,,,right_wrist_roll_link | torso_link,self_collision_frame_count,26.0
05_04,direct_mapping,,,,,,,,left_wrist_pitch_link | torso_link,self_collision_frame_count,83.0
05_04,direct_mapping,,,,,,,,right_wrist_pitch_link | torso_link,self_collision_frame_count,20.0
